"","sim_number","oxcal_target","a_pass","Targets","Span","Samples","Errors","OffsetVaria","model_run","accuracy_68","accuracy_95","precision_68","precision_95","off_target_68","off_target_95","Offset"
"26",26,"T645","Fail",645,47,18,16,19.6151833725197,1,0,1,5.5,11.5,1.5,0,0
"27",27,"T490","Pass",490,43,4,19,7.74204349104036,1,0,1,9,17,1,0,0
"28",28,"T989","Pass",989,45,13,8,5.27914725728822,1,1,1,14,26,0,0,0
"29",29,"T607","Fail",607,36,11,9,16.3409665875905,1,1,1,6.5,12.5,0,0,0
"30",30,"T934","Pass",934,51,21,27,7.30440658856463,1,1,1,5.5,11.5,0,0,0
"31",31,"T1137","Pass",1137,90,4,22,3.87567748669488,1,1,1,8.5,20,0,0,0
"32",32,"T830","Pass",830,62,22,16,6.94826206124923,1,1,1,14.5,25,0,0,0
"33",33,"T806","Pass",806,69,20,17,23.275143275135,1,0,1,9.5,20.5,4,0,0
"34",34,"T366","Pass",366,96,23,22,19.9048142555493,1,1,1,11.5,23,0,0,0
"35",35,"T520","Pass",520,95,6,28,17.1977235277328,1,1,1,9.5,18.5,0,0,0
"36",36,"T1115","Pass",1115,61,16,11,3.58632878468791,1,1,1,10,20.5,0,0,0
"37",37,"T799","Pass",799,53,23,10,5.98347988802451,1,1,1,10,18.5,0,0,0
"38",38,"T655","Pass",655,86,5,27,2.92800967640523,1,1,1,10.5,21,0,0,0
"39",39,"T905","Pass",905,89,17,13,11.075940365331,1,1,1,5,10,0,0,0
"40",40,"T602","Pass",602,36,15,12,11.8428282148878,1,1,1,10.5,20,0,0,0
"41",41,"T377","Pass",377,25,11,28,2.69209952383139,1,1,1,27,55,0,0,0
"42",42,"T354","Fail",354,69,21,8,20.7387423647279,1,0,1,9,15,3.5,0,0
"43",43,"T1015","Fail",1015,91,25,15,24.2360678309172,1,1,1,5,11.5,0,0,0
"44",44,"T954","Fail",954,64,20,9,22.6982388027944,1,0,1,5.5,11.5,1.5,0,0
"45",45,"T771","Pass",771,51,2,16,9.6037231818831,1,1,1,28.5,45,0,0,0
"46",46,"T325","FALSE",325,98,22,20,15.6654336903805,0,0,0,0,0,0,0,0
"47",47,"T767","Pass",767,56,13,32,12.9827345122288,1,1,1,12,22,0,0,0
"48",48,"T583","Pass",583,85,13,29,14.0273684916385,1,1,1,8,16.5,0,0,0
"49",49,"T975","Pass",975,41,4,15,12.0632625806632,1,1,1,30,47,0,0,0
"50",50,"T226","FALSE",226,52,10,29,14.1159642878664,0,0,0,0,0,0,0,0
"51",51,"T771","Pass",771,69,21,30,11.8507616810338,1,0,1,9,17.5,4.5,0,0
"52",52,"T526","Pass",526,71,10,20,13.8655256687361,1,1,1,6.5,13,0,0,0
"53",53,"T355","Pass",355,35,24,24,22.1844772022362,1,1,1,18.5,34,0,0,0
"54",54,"T289","FALSE",289,46,15,21,7.93092220013496,0,0,0,0,0,0,0,0
"55",55,"T726","Pass",726,30,10,30,3.68255447541457,1,1,1,15.5,48,0,0,0
"56",56,"T1104","Pass",1104,91,2,16,18.8826779318638,1,1,1,21.5,56,0,0,0
"57",57,"T718","Pass",718,95,15,14,18.5410356001849,1,1,1,7,13,0,0,0
"58",58,"T672","Fail",672,73,25,22,26.3871452056442,1,1,1,6,12.5,0,0,0
"59",59,"T785","Pass",785,59,8,12,20.0273338054603,1,1,1,9,16,0,0,0
"60",60,"T363","FALSE",363,76,21,31,7.9075987071218,0,0,0,0,0,0,0,0
"61",61,"T605","Pass",605,76,14,10,5.95797302736901,1,1,1,4,8,0,0,0
"62",62,"T493","Pass",493,53,5,17,21.5828822297482,1,0,1,10,16,2.5,0,0
"63",63,"T568","Pass",568,42,6,25,11.0088293445113,1,1,1,10,17.5,0,0,0
"64",64,"T1098","Pass",1098,56,12,9,3.19853755942942,1,1,1,8,17,0,0,0
"65",65,"T623","Fail",623,27,22,14,24.6743558918925,1,0,1,6.5,12,1,0,0
"66",66,"T865","Pass",865,89,3,26,6.5966513961982,1,1,1,27.5,57.5,0,0,0
"67",67,"T671","Pass",671,79,6,32,5.07380936028436,1,0,1,11,22.5,2.5,0,0
"68",68,"T1173","Fail",1173,60,4,8,18.4739593522409,1,0,1,6.5,12.5,1.5,0,0
"69",69,"T466","Pass",466,56,15,21,0.541721141902264,1,1,1,7,14,0,0,0
"70",70,"T1122","Pass",1122,77,24,15,9.68210625361395,1,1,1,10,19,0,0,0
"71",71,"T578","Pass",578,71,15,22,3.61517654994549,1,1,1,6.5,12.5,0,0,0
"72",72,"T806","Pass",806,59,19,8,2.9932065108805,1,1,1,6.5,14,0,0,0
"73",73,"T1028","Pass",1028,77,10,32,10.8756151301386,1,1,1,21,43.5,0,0,0
"74",74,"T840","Pass",840,40,19,26,18.0531326981124,1,1,1,20.5,46.5,0,0,0
"75",75,"T302","FALSE",302,77,21,31,22.1387471379496,0,0,0,0,0,0,0,0
"76",76,"T352","Pass",352,28,10,13,16.8044889222053,1,0,1,10.5,21.5,2,0,0
"77",77,"T790","Pass",790,40,4,12,3.79404948127782,1,1,1,34,73,0,0,0
"78",78,"T840","Fail",840,89,19,9,19.2885085735661,1,0,1,5,9,2,0,0
"79",79,"T861","Pass",861,54,12,16,17.9118028486923,1,0,1,8,17.5,4,0,0
"80",80,"T259","FALSE",259,32,5,32,2.64324924177583,0,0,0,0,0,0,0,0
"81",81,"T243","FALSE",243,89,23,22,8.33878832604131,0,0,0,0,0,0,0,0
"82",82,"T667","Pass",667,88,2,15,19.5384203429087,1,0,1,14,23,5.5,0,0
"83",83,"T1124","Fail",1124,68,25,12,17.6116200081944,1,1,1,8,14,0,0,0
"84",84,"T472","Pass",472,66,4,18,6.32935557053098,1,1,1,10.5,18.5,0,0,0
"85",85,"T807","Pass",807,48,25,19,22.5652283453806,1,1,1,10.5,32,0,0,0
"86",86,"T843","Pass",843,61,17,29,8.9937587496303,1,1,1,18.5,36,0,0,0
"87",87,"T355","FALSE",355,57,24,30,13.3461027959858,0,0,0,0,0,0,0,0
"88",88,"T1156","Fail",1156,37,18,18,20.2265902559671,1,1,1,5,11,0,0,0
"89",89,"T611","Pass",611,72,12,24,20.5785832930857,1,1,1,5.5,13,0,0,0
"90",90,"T586","Pass",586,46,10,20,5.61101188943349,1,1,1,6.5,12.5,0,0,0
"91",91,"T700","Fail",700,58,21,10,26.2291100928402,1,1,1,6.5,11.5,0,0,0
"92",92,"T820","Pass",820,83,21,8,6.64411183059681,1,1,1,10,16,0,0,0
"93",93,"T938","Pass",938,64,15,20,16.2844595910059,1,1,1,7.5,15.5,0,0,0
"94",94,"T459","Pass",459,26,2,26,3.27396061170893,1,0,1,22.5,53.5,0.5,0,0
"95",95,"T847","Pass",847,46,5,15,2.17866055953829,1,1,1,15,42,0,0,0
"96",96,"T737","Pass",737,92,12,19,4.72832703822223,1,1,1,12.5,27,0,0,0
"97",97,"T1082","Pass",1082,95,9,32,8.37098694775486,1,1,1,15.5,29,0,0,0
"98",98,"T480","Fail",480,28,12,24,21.6519815853192,1,1,1,6,12.5,0,0,0
"99",99,"T1178","Pass",1178,54,22,25,7.18068573328014,1,1,1,7,13.5,0,0,0
"100",100,"T594","Pass",594,56,5,20,8.22887132759206,1,1,1,12,24,0,0,0
"101",101,"T393","Fail",393,96,22,23,19.444565241775,1,0,1,13.5,24.5,3,0,0
"102",102,"T520","Pass",520,31,21,17,20.0170338279454,1,1,1,4,9,0,0,0
"103",103,"T230","FALSE",230,94,15,26,19.146763528853,0,0,0,0,0,0,0,0
"104",104,"T924","Pass",924,91,8,31,24.0191485672905,1,1,1,14,39,0,0,0
"105",105,"T811","Fail",811,98,4,27,15.7025290314143,1,0,1,25.5,46,0.5,0,0
"106",106,"T999","Pass",999,28,11,25,17.2754969080503,1,1,1,23,56,0,0,0
"107",107,"T1052","Pass",1052,84,8,19,13.4651040663116,1,0,1,13,26.5,0.5,0,0
"108",108,"T840","Fail",840,95,25,13,18.5366046189892,1,1,1,4,9,0,0,0
"109",109,"T335","Pass",335,52,10,20,8.71147529626684,1,1,1,10,19.5,0,0,0
"110",110,"T851","Pass",851,98,9,22,21.5473618852762,1,1,1,6.5,16,0,0,0
"111",111,"T633","Pass",633,97,23,20,3.16771228121337,1,1,1,4,9,0,0,0
"112",112,"T981","Pass",981,46,6,22,22.0169725827104,1,1,1,30.5,61.5,0,0,0
"113",113,"T522","Fail",522,69,23,9,22.5481131433556,1,1,1,4,8,0,0,0
"114",114,"T501","Pass",501,39,3,31,25.2668469911153,1,0,1,18.5,30.5,0.5,0,0
"115",115,"T969","Pass",969,92,8,9,0.26980517577799,1,1,1,11.5,22.5,0,0,0
"116",116,"T970","Fail",970,72,12,21,22.1587709713348,1,1,1,10.5,20.5,0,0,0
"117",117,"T1101","Pass",1101,81,20,27,23.3582285824053,1,1,1,8.5,14.5,0,0,0
"118",118,"T231","FALSE",231,63,6,19,12.2318184997202,0,0,0,0,0,0,0,0
"119",119,"T1115","Pass",1115,79,17,24,5.7216615615054,1,1,1,9,16,0,0,0
"120",120,"T805","Pass",805,27,5,30,15.4551247899146,1,1,1,42,87.5,0,0,0
"121",121,"T697","Pass",697,54,20,18,6.73949875217723,1,1,1,7,13.5,0,0,0
"122",122,"T632","Fail",632,45,17,20,20.7600291025625,1,1,1,4,9,0,0,0
"123",123,"T423","Pass",423,89,18,29,26.1942739151865,1,1,1,8.5,17,0,0,0
"124",124,"T719","Pass",719,92,20,9,19.2239386935465,1,1,1,6,13,0,0,0
"125",125,"T459","Pass",459,48,18,15,14.7327483313424,1,1,1,8,15,0,0,0
"126",126,"T691","Pass",691,73,4,16,3.34639359154249,1,1,1,10.5,20.5,0,0,0
"127",127,"T498","Pass",498,90,16,30,24.0443667007876,1,1,1,5.5,13,0,0,0
"128",128,"T605","Pass",605,41,12,25,6.28142441282631,1,1,1,13,42.5,0,0,0
"129",129,"T1106","Pass",1106,61,13,9,15.7501023974519,1,0,1,4,9,1.5,0,0
"130",130,"T444","Pass",444,77,4,23,0.291456936260918,1,1,1,14.5,25,0,0,0
"131",131,"T1073","Pass",1073,76,8,12,25.9328179706503,1,1,1,14,25.5,0,0,0
"132",132,"T901","Pass",901,96,10,22,9.07110477401991,1,1,1,7.5,16,0,0,0
"133",133,"T1069","Pass",1069,57,10,29,1.55613129785401,1,0,1,23.5,60,5,0,0
"134",134,"T589","Pass",589,72,8,29,3.20571161829936,1,1,1,9,18.5,0,0,0
"135",135,"T444","Pass",444,28,8,29,6.73045899525774,1,1,1,35.5,94.5,0,0,0
"136",136,"T355","Fail",355,62,25,20,22.1697118346668,1,0,1,15,29.5,1,0,0
"137",137,"T707","Pass",707,48,21,17,0.542627050586045,1,1,1,10.5,18.5,0,0,0
"138",138,"T237","FALSE",237,64,12,28,4.46800965857459,0,0,0,0,0,0,0,0
"139",139,"T438","Pass",438,85,18,22,17.5501317848235,1,1,1,6,15.5,0,0,0
"140",140,"T871","Pass",871,39,13,23,14.3946791100765,1,1,1,10,20.5,0,0,0
"141",141,"T802","Pass",802,69,18,30,14.8469193678889,1,1,1,17.5,55.5,0,0,0
"142",142,"T906","Pass",906,54,16,27,18.4879277755974,1,1,1,6.5,13,0,0,0
"143",143,"T968","Pass",968,70,20,10,5.95503792765597,1,1,1,10,17,0,0,0
"144",144,"T325","FALSE",325,85,21,28,0.577954305647407,0,0,0,0,0,0,0,0
"145",145,"T1048","Pass",1048,30,22,25,22.2385437734968,1,1,1,6,12.5,0,0,0
"146",146,"T610","Pass",610,65,24,17,7.12197130074445,1,1,1,5.5,11.5,0,0,0
"147",147,"T537","Pass",537,97,4,13,5.91485929498193,1,1,1,10,18.5,0,0,0
"148",148,"T1055","Fail",1055,86,8,9,23.2344522608055,1,0,0,7,13.5,4,0.5,0
"149",149,"T677","Pass",677,71,8,15,6.14181512356922,1,0,1,6.5,15.5,1,0,0
"150",150,"T798","Pass",798,52,10,24,4.91010215349542,1,1,1,22.5,39,0,0,0
"151",151,"T1002","Pass",1002,44,3,12,16.0673324366682,1,1,1,21,44,0,0,0
"152",152,"T1004","Pass",1004,41,24,28,2.60944416996604,1,1,1,10.5,19,0,0,0
"153",153,"T464","Pass",464,57,23,20,24.0742109285786,1,1,1,6.5,11.5,0,0,0
"154",154,"T222","FALSE",222,49,22,22,1.25042570904712,0,0,0,0,0,0,0,0
"155",155,"T353","Pass",353,81,8,13,1.22137527888152,1,1,1,16.5,30.5,0,0,0
"156",156,"T1180","Pass",1180,44,7,15,21.3179370406079,1,1,1,10,19,0,0,0
"157",157,"T574","Fail",574,88,6,16,15.7607998938423,1,1,1,10,20,0,0,0
"158",158,"T551","Pass",551,51,4,30,25.8976735878452,1,1,1,11,21.5,0,0,0
"159",159,"T482","Fail",482,99,8,17,25.5417243340423,1,1,1,10,15.5,0,0,0
"160",160,"T1053","Pass",1053,97,5,14,0.130840720996726,1,0,1,11,22,1,0,0
"161",161,"T948","Pass",948,98,23,30,17.307947207398,1,1,1,10.5,20,0,0,0
"162",162,"T523","Pass",523,100,5,14,8.66216140466067,1,1,1,7,16,0,0,0
"163",163,"T576","Pass",576,67,6,32,11.1020357056989,1,1,1,15,31,0,0,0
"164",164,"T300","FALSE",300,71,24,24,20.6237112362781,0,0,0,0,0,0,0,0
"165",165,"T739","Pass",739,53,14,25,14.7317204029348,1,0,1,15,25.5,2.5,0,0
"166",166,"T234","FALSE",234,41,15,31,16.9940508664816,0,0,0,0,0,0,0,0
"167",167,"T663","Pass",663,87,20,25,21.6777874149666,1,1,1,6,13,0,0,0
"168",168,"T551","Pass",551,78,19,32,3.6129958106291,1,1,1,7.5,15.5,0,0,0
"169",169,"T266","FALSE",266,38,17,13,15.9198053401648,0,0,0,0,0,0,0,0
"170",170,"T833","Pass",833,78,10,21,0.222211276715156,1,1,1,12.5,40.5,0,0,0
"171",171,"T366","Pass",366,36,10,13,0.667672637677519,1,1,1,16,31,0,0,0
"172",172,"T583","Pass",583,90,4,25,5.17151719856518,1,1,1,10.5,19.5,0,0,0
"173",173,"T835","Pass",835,84,5,11,25.6423511072146,1,1,1,10.5,19.5,0,0,0
"174",174,"T885","Pass",885,100,20,8,6.73707529374608,1,0,1,4,8,0.5,0,0
"175",175,"T1096","Pass",1096,57,23,19,3.29351621437888,1,1,1,17.5,33.5,0,0,0
"176",176,"T376","Pass",376,53,22,26,10.4709290750294,1,0,1,17,33,9,0,0
"177",177,"T789","Pass",789,99,18,9,19.5018604338255,1,0,1,6.5,12.5,0.5,0,0
"178",178,"T793","Pass",793,59,19,21,26.1508050256281,1,1,1,12.5,37,0,0,0
"179",179,"T216","FALSE",216,49,22,28,14.9985106090247,0,0,0,0,0,0,0,0
"180",180,"T1196","Fail",1196,62,16,8,25.7626478275752,1,0,1,8,14.5,1,0,0
"181",181,"T765","Fail",765,49,16,14,24.2494308385174,1,1,1,7,14,0,0,0
"182",182,"T950","Pass",950,28,15,32,7.15420407218603,1,1,1,6.5,13,0,0,0
"183",183,"T352","FALSE",352,87,8,32,25.7380989547099,0,0,0,0,0,0,0,0
"184",184,"T999","Pass",999,51,3,11,10.9764611957739,1,1,1,20,35.5,0,0,0
"185",185,"T1128","Fail",1128,83,12,14,25.2789459158382,1,1,1,5.5,11.5,0,0,0
"186",186,"T355","Pass",355,48,18,24,19.1676657166879,1,0,1,15.5,33.5,1,0,0
"187",187,"T326","Pass",326,91,9,25,25.245854909597,1,1,1,24.5,45.5,0,0,0
"188",188,"T599","Pass",599,88,11,32,11.6421544303575,1,1,1,8.5,18,0,0,0
"189",189,"T868","Pass",868,51,17,23,2.62920966235548,1,1,1,9.5,14.5,0,0,0
"190",190,"T818","Pass",818,74,6,11,2.5818457418133,1,1,1,11.5,31.5,0,0,0
"191",191,"T363","Pass",363,28,19,8,12.206434090673,1,1,1,11,20.5,0,0,0
"192",192,"T980","Pass",980,41,10,24,15.5945095917545,1,1,1,26,47,0,0,0
"193",193,"T944","Pass",944,48,5,31,4.06881274498696,1,0,1,10.5,25,1.5,0,0
"194",194,"T1172","Fail",1172,50,2,23,22.7269725813807,1,1,1,17,54,0,0,0
"195",195,"T1041","Pass",1041,26,9,28,20.1052168412639,1,1,1,19,51.5,0,0,0
"196",196,"T1034","Pass",1034,92,11,22,18.3727208763072,1,1,1,10,18,0,0,0
"197",197,"T203","FALSE",203,58,18,19,9.77217969962698,0,0,0,0,0,0,0,0
"198",198,"T832","Pass",832,40,24,18,2.84171892820555,1,1,1,14.5,36.5,0,0,0
"199",199,"T1094","Pass",1094,25,11,9,8.49409993788064,1,1,1,15,33,0,0,0
"200",200,"T722","Pass",722,47,10,20,20.3269904439973,1,0,1,10.5,20.5,3,0,0
"201",201,"T673","Pass",673,88,2,19,20.528202794726,1,1,1,14.5,29,0,0,0
"202",202,"T1015","Pass",1015,70,2,10,11.4740404834354,1,1,1,24,58.5,0,0,0
"203",203,"T305","FALSE",305,73,2,18,21.9582481057742,0,0,0,0,0,0,0,0
"204",204,"T658","Pass",658,53,14,24,25.1954360105314,1,1,1,7,12.5,0,0,0
"205",205,"T831","Fail",831,96,5,16,15.7957991325911,1,1,1,22,29.5,0,0,0
"206",206,"T964","Pass",964,45,24,26,25.719891670913,1,0,1,16,30.5,1.5,0,0
"207",207,"T790","Pass",790,100,8,15,14.5967565440598,1,1,1,12,25,0,0,0
"208",208,"T362","Pass",362,63,22,22,4.48819301777147,1,1,1,14.5,27,0,0,0
"209",209,"T778","Pass",778,46,13,28,3.2751097639387,1,1,1,8.5,19.5,0,0,0
"210",210,"T304","Pass",304,80,20,13,11.8533343062173,1,1,1,6,11.5,0,0,0
"211",211,"T1006","Pass",1006,87,6,14,20.8291940120377,1,0,1,11,20.5,2.5,0,0
"212",212,"T1007","Pass",1007,55,7,21,7.59248155198991,1,1,1,18,54,0,0,0
"213",213,"T454","Pass",454,67,20,19,1.12484440002544,1,1,1,6.5,12,0,0,0
"214",214,"T843","Pass",843,81,19,29,6.7125815170093,1,1,1,12,25.5,0,0,0
"215",215,"T291","FALSE",291,53,23,17,6.2221365425,0,0,0,0,0,0,0,0
"216",216,"T385","Pass",385,34,22,12,2.27280652257404,1,1,1,12,23.5,0,0,0
"217",217,"T1012","Pass",1012,44,7,19,6.44597036408237,1,1,1,36.5,63,0,0,0
"218",218,"T332","Pass",332,48,11,32,10.504501669558,1,1,1,22,46,0,0,0
"219",219,"T655","Pass",655,26,4,22,22.8087538811325,1,1,1,9,15.5,0,0,0
"220",220,"T1117","Pass",1117,53,16,20,19.8141775272023,1,1,1,14.5,25.5,0,0,0
"221",221,"T539","Pass",539,93,24,19,14.0166978091085,1,0,1,6,12,2,0,0
"222",222,"T920","Fail",920,75,15,21,20.8454060324214,1,1,1,8,15,0,0,0
"223",223,"T701","Pass",701,28,18,14,9.72316069261893,1,1,1,9.5,17,0,0,0
"224",224,"T1094","Pass",1094,71,16,29,14.5381717817741,1,1,1,10,22.5,0,0,0
"225",225,"T453","Pass",453,95,18,10,2.19366577110533,1,0,1,4,8,0.5,0,0
"226",226,"T1015","Pass",1015,54,11,24,3.06473545764317,1,1,1,16.5,48.5,0,0,0
"227",227,"T213","FALSE",213,40,24,27,6.37366159424419,0,0,0,0,0,0,0,0
"228",228,"T1027","Pass",1027,64,18,10,9.85211716085696,1,1,1,5,11.5,0,0,0
"229",229,"T230","FALSE",230,42,11,23,15.2652934669075,0,0,0,0,0,0,0,0
"230",230,"T291","FALSE",291,86,24,19,13.177393724499,0,0,0,0,0,0,0,0
"231",231,"T370","Fail",370,41,22,9,21.6925924974049,1,1,1,7.5,19,0,0,0
"232",232,"T707","Pass",707,66,11,8,1.08660055458872,1,1,1,6,12,0,0,0
"233",233,"T1105","Pass",1105,55,10,32,11.025836822191,1,1,1,25,56.5,0,0,0
"234",234,"T683","Pass",683,63,3,22,3.08314018054516,1,0,1,11,26.5,4.5,0,0
"235",235,"T436","Fail",436,46,21,28,13.2162487050774,1,1,1,12.5,25.5,0,0,0
"236",236,"T862","Fail",862,49,12,31,15.8269546359007,1,1,1,14,32.5,0,0,0
"237",237,"T919","Pass",919,38,21,24,10.429035984104,1,1,1,8.5,17.5,0,0,0
"238",238,"T821","Pass",821,69,23,16,4.4786129856247,1,0,1,22.5,35,3.5,0,0
"239",239,"T249","FALSE",249,97,8,31,18.9197485382527,0,0,0,0,0,0,0,0
"240",240,"T1049","Pass",1049,39,17,11,18.4517637503983,1,1,1,4,9,0,0,0
"241",241,"T276","FALSE",276,95,15,8,13.6129312300277,0,0,0,0,0,0,0,0
"242",242,"T536","Pass",536,31,13,15,6.42604695619363,1,0,1,4.5,11,2,0,0
"243",243,"T225","FALSE",225,83,10,22,16.0877247416084,0,0,0,0,0,0,0,0
"244",244,"T345","Fail",345,79,15,10,23.4103226382285,1,1,1,9,15.5,0,0,0
"245",245,"T635","Pass",635,36,14,8,15.0758585954041,1,1,1,7,12.5,0,0,0
"246",246,"T762","Pass",762,73,5,32,14.1246037063212,1,0,1,27,68.5,9.5,0,0
"247",247,"T1125","Pass",1125,57,24,9,0.107911236254731,1,1,1,10,19.5,0,0,0
"248",248,"T1137","Pass",1137,81,10,21,8.4675722502335,1,1,1,10,15,0,0,0
"249",249,"T1196","Pass",1196,53,12,10,9.76723585553304,1,1,1,9,15,0,0,0
"250",250,"T243","FALSE",243,33,10,13,15.5615922647985,0,0,0,0,0,0,0,0
"251",251,"T1162","Pass",1162,97,2,11,21.6126302213229,1,1,1,40.5,90,0,0,0
"252",252,"T818","Pass",818,81,25,10,11.7249362400179,1,1,1,15,32.5,0,0,0
"253",253,"T622","Pass",622,71,7,16,8.24897433158429,1,1,1,5,12,0,0,0
"254",254,"T568","Fail",568,70,16,12,17.3122732838376,1,1,1,5.5,11.5,0,0,0
"255",255,"T1030","Fail",1030,42,10,9,23.447821643238,1,1,1,5,11,0,0,0
"256",256,"T868","Pass",868,32,2,13,18.8738645996721,1,0,1,17.5,30,1.5,0,0
"257",257,"T297","FALSE",297,40,25,15,22.2116637112487,0,0,0,0,0,0,0,0
"258",258,"T813","Fail",813,58,5,32,10.1633893712729,1,1,1,36,75,0,0,0
"259",259,"T264","FALSE",264,29,22,27,16.4865537142421,0,0,0,0,0,0,0,0
"260",260,"T252","FALSE",252,73,15,24,19.5062348011271,0,0,0,0,0,0,0,0
"261",261,"T594","Pass",594,60,4,14,20.9782938778126,1,1,1,9.5,17,0,0,0
"262",262,"T203","FALSE",203,45,22,16,22.2830042576329,0,0,0,0,0,0,0,0
"263",263,"T1149","Fail",1149,56,25,14,14.7274049014968,1,1,1,10,14.5,0,0,0
"264",264,"T975","Pass",975,87,4,32,23.0874682529487,1,1,1,20.5,54.5,0,0,0
"265",265,"T1041","Pass",1041,94,4,20,20.5670489648597,1,1,1,12.5,24,0,0,0
"266",266,"T698","Pass",698,92,17,12,5.3048449738943,1,1,1,6.5,12,0,0,0
"267",267,"T1009","Pass",1009,61,7,31,0.579826549832709,1,1,1,20.5,58,0,0,0
"268",268,"T641","Pass",641,43,10,21,9.24756435918924,1,0,1,5,12,1,0,0
"269",269,"T767","Pass",767,67,12,20,7.35281240589451,1,1,1,13,25.5,0,0,0
"270",270,"T661","Pass",661,36,24,25,17.7462978361044,1,1,1,5.5,11.5,0,0,0
"271",271,"T1110","Pass",1110,51,24,22,21.2632319403859,1,1,1,11.5,23,0,0,0
"272",272,"T229","FALSE",229,38,14,17,17.5566407044742,0,0,0,0,0,0,0,0
"273",273,"T357","Pass",357,68,6,26,14.2615353669221,1,1,1,23.5,50,0,0,0
"274",274,"T362","Pass",362,40,19,13,0.174815008020494,1,1,1,13.5,23.5,0,0,0
"275",275,"T627","Pass",627,59,18,27,7.51123964518704,1,1,1,6,11.5,0,0,0
"276",276,"T985","Pass",985,92,6,14,1.79677535544406,1,1,1,9,16.5,0,0,0
"277",277,"T1193","Pass",1193,54,22,11,10.6965984059316,1,1,1,8.5,15.5,0,0,0
"278",278,"T556","Pass",556,66,7,12,11.8165569741142,1,1,1,7,13,0,0,0
"279",279,"T1134","Fail",1134,26,7,17,19.4599640358984,1,0,1,8.5,25,10.5,0,0
"280",280,"T358","FALSE",358,54,3,27,18.4768037006713,0,0,0,0,0,0,0,0
"281",281,"T760","Pass",760,47,24,28,8.61436615485279,1,1,1,7.5,13.5,0,0,0
"282",282,"T593","Fail",593,46,4,16,20.1179715641604,1,1,1,8,17.5,0,0,0
"283",283,"T1062","Pass",1062,92,19,12,19.1853003462562,1,0,1,6,12,3.5,0,0
"284",284,"T600","Fail",600,37,11,25,17.8183370174393,1,1,1,14,32,0,0,0
"285",285,"T364","Pass",364,42,13,9,1.1468942161547,1,1,1,12.5,26.5,0,0,0
"286",286,"T740","Pass",740,58,6,31,7.13590406277706,1,0,0,20.5,54.5,18,3.5,0
"287",287,"T467","Pass",467,79,11,11,17.8967858713563,1,0,1,5,12,1,0,0
"288",288,"T717","Pass",717,99,4,11,4.5100813646086,1,1,1,11.5,21.5,0,0,0
"289",289,"T856","Pass",856,45,9,25,2.89396262585418,1,0,1,11.5,46.5,1.5,0,0
"290",290,"T1057","Pass",1057,26,5,19,1.78931919575855,1,1,1,10,41,0,0,0
"291",291,"T1170","Pass",1170,28,8,24,23.7654866148711,1,1,1,6.5,12,0,0,0
