"","SimNumber","Targets","Span","Samples","Phases","Errors","OffsetVaria"
"150",150,1291,200,33,1,13,17.4096243916533
"151",151,3313,184,37,1,23,21.5530430796854
"152",152,5189,117,36,1,13,23.0077969066363
"153",153,11478,129,40,1,20,14.8524270372575
"154",154,8175,149,9,1,23,26.059852842639
"155",155,10291,184,36,1,11,15.6637036287575
"156",156,11964,70,29,1,12,24.4785619091478
"157",157,7671,102,24,1,30,15.6066519702326
"158",158,2487,89,37,1,13,24.1001872107168
"159",159,2294,193,6,1,12,0.869966526025441
"160",160,4907,97,31,1,10,6.96349095816212
"161",161,6459,119,5,1,26,9.41774363353755
"162",162,7408,159,27,1,13,7.24541858801804
"163",163,11709,40,37,1,27,22.5788738054738
"164",164,9726,62,34,1,25,16.8946297792261
"165",165,11454,120,5,1,14,3.10524187217816
"166",166,2179,190,9,1,10,5.97618951647659
"167",167,7893,52,11,1,29,14.1205237855634
"168",168,2873,56,8,1,21,22.4462077451365
"169",169,4553,62,23,1,23,26.4055016685331
"170",170,4726,194,16,1,9,13.9353368008875
"171",171,6987,84,31,1,26,4.27196976693929
"172",172,9848,59,8,1,13,24.8650841403848
"173",173,652,186,37,1,27,4.13324971562251
"174",174,5294,196,28,1,12,3.14037312569306
"175",175,10645,78,31,1,14,8.48451424804632
"176",176,1004,104,9,1,8,26.4135900023074
"177",177,10526,158,5,1,8,3.20052279078169
"178",178,4273,150,25,1,23,21.5505051286612
"179",179,3660,73,16,1,23,25.9197900499296
"180",180,1021,155,27,1,30,4.58892221544869
"181",181,4071,36,37,1,19,26.3169698158971
"182",182,12295,129,6,1,32,1.7323116573249
"183",183,6824,148,29,1,31,12.4859868922976
"184",184,736,87,14,1,10,9.65355278065568
"185",185,3384,191,16,1,24,1.79725450666854
"186",186,12254,74,9,1,28,22.453063258305
"187",187,7586,73,5,1,24,25.001688907573
"188",188,1561,73,18,1,25,19.239813239346
"189",189,1332,135,28,1,8,6.97830526442034
"190",190,5014,128,25,1,19,0.280727461904753
"191",191,10569,199,39,1,31,13.0042801771881
"192",192,8952,147,12,1,20,21.353941101941
"193",193,2454,131,10,1,32,22.6466813450099
"194",194,5703,31,23,1,29,18.6434766216178
"195",195,8380,117,28,1,21,17.3966392521819
"196",196,3227,134,33,1,27,21.3500438313275
"197",197,11228,142,38,1,12,11.2562211477361
"198",198,3394,59,28,1,14,16.1102505808841
"199",199,8242,150,17,1,24,3.02497802962712
"200",200,2449,146,31,1,18,15.2616037044786
"201",201,11643,95,31,1,14,1.93479294654704
"202",202,691,92,17,1,18,4.77149603332183
"203",203,10818,161,12,1,29,25.6770394384486
"204",204,2234,63,38,1,8,2.22026890281285
"205",205,9925,95,16,1,11,14.012079889772
"206",206,7157,117,9,1,25,22.8953277111426
"207",207,8243,194,19,1,19,10.7876283589879
"208",208,5732,190,8,1,10,3.9249420324068
"209",209,5695,172,23,1,20,12.6696483311923
"210",210,10423,85,37,1,28,17.5287877729284
"211",211,12183,29,19,1,9,14.6596922346558
"212",212,9332,190,27,1,20,24.3567509768903
"213",213,9146,95,34,1,27,13.4982708682907
"214",214,8429,87,15,1,19,12.5877461407864
"215",215,2426,156,36,1,28,16.4889467556616
"216",216,2673,185,18,1,18,7.52170040714857
"217",217,10515,100,35,1,15,23.0584669157164
"218",218,3658,111,31,1,18,21.8903715695969
"219",219,5067,70,35,1,29,19.0850907920646
"220",220,7195,83,16,1,18,12.47369694504
"221",221,6214,61,31,1,9,10.4799109840989
"222",222,10944,118,23,1,27,16.4154510745448
"223",223,2151,194,23,1,19,15.6870528805989
"224",224,8436,43,33,1,31,3.91999920015666
"225",225,11269,188,20,1,24,12.4196286400715
"226",226,5602,163,6,1,24,22.8337241684282
"227",227,5042,53,15,1,16,19.5590735061145
"228",228,5605,157,27,1,26,3.12323616285669
"229",229,7346,49,35,1,21,19.1731109047022
"230",230,12136,40,18,1,17,17.7551147714471
"231",231,9549,42,25,1,10,25.305590372727
"232",232,9760,53,9,1,29,14.3817039964963
"233",233,670,111,33,1,14,8.6685347310733
"234",234,7440,168,20,1,15,15.1088290318197
"235",235,9857,141,28,1,25,2.1065439166252
"236",236,11466,162,16,1,22,3.46429249507445
"237",237,3181,110,13,1,11,7.06863908745628
"238",238,9624,60,11,1,32,25.9496314211129
"239",239,1397,50,22,1,27,5.78853450905415
"240",240,1341,144,15,1,24,1.15302771707904
"241",241,4646,195,20,1,12,10.2678503475755
"242",242,8912,26,36,1,30,12.2606188872431
"243",243,11573,36,15,1,28,20.9438596180871
"244",244,7012,170,25,1,10,6.33263482052926
"245",245,3566,187,14,1,30,20.9601246121952
"246",246,8193,138,32,1,18,9.82762480933918
"247",247,1291,88,35,1,22,2.59459999580658
"248",248,6526,46,24,1,27,25.2389626368838
"249",249,8552,45,36,1,29,9.42489424724644
"250",250,10949,66,31,1,14,23.1991670589594
"251",251,3397,112,36,1,25,11.7892994262637
"252",252,849,75,27,1,26,16.1419523132578
"253",253,4236,199,26,1,28,26.3276276406071
"254",254,5020,65,18,1,17,13.6724560075367
"255",255,3937,38,19,1,9,0.636105634772684
"256",256,10259,56,33,1,21,7.71630772540579
"257",257,8773,31,20,1,23,3.40935151802283
"258",258,1976,189,38,1,13,15.6101772648566
"259",259,11231,177,29,1,8,4.72933080577431
"260",260,2214,186,33,1,30,25.7478123281253
"261",261,7470,149,8,1,20,15.534529194559
"262",262,8573,58,30,1,27,3.25312692693272
"263",263,1518,175,36,1,17,10.8944477950975
"264",264,7296,171,16,1,19,1.32942868934572
"265",265,2037,53,29,1,13,20.8116300202718
"266",266,3431,125,25,1,23,22.8067064090474
"267",267,3308,36,23,1,28,8.78310337287234
"268",268,6937,151,36,1,21,5.53170711438404
"269",269,825,92,31,1,28,14.0715853373627
"270",270,5487,139,5,1,28,15.8559365383284
"271",271,2330,116,14,1,9,2.58105941579048
"272",272,6843,176,6,1,13,0.0923505532941781
"273",273,7506,137,38,1,13,24.4515539041879
"274",274,10780,166,29,1,16,10.5865079379696
"275",275,914,42,28,1,31,7.3553502273534
"276",276,9206,127,15,1,19,8.20406797601282
"277",277,11727,144,31,1,27,16.9709604985765
"278",278,8344,137,37,1,9,20.3167359254158
"279",279,5461,191,32,1,31,20.4234912390099
"280",280,9154,162,37,1,10,9.06789502658462
"281",281,3917,124,32,1,28,19.2537596982885
"282",282,1655,176,15,1,11,16.0717846974325
"283",283,2303,47,35,1,20,20.5506804541957
"284",284,2700,105,12,1,17,17.7999167220145
"285",285,11671,82,25,1,8,6.48693682203558
"286",286,7833,39,5,1,16,22.6787612971899
"287",287,6618,33,16,1,8,0.482261474073399
"288",288,734,41,22,1,16,24.0072428800529
"289",289,4240,101,40,1,18,22.1233821110278
"290",290,3190,41,8,1,26,23.9054986056183
"291",291,9577,150,27,1,20,17.2753250796988
"292",292,10156,157,11,1,14,15.2696611646777
"293",293,2148,89,11,1,31,5.9522368417175
"294",294,3094,60,34,1,30,10.8609025943887
"295",295,3379,34,39,1,10,12.674128639773
"296",296,4653,53,19,1,10,19.7053839591732
"297",297,1406,176,14,1,24,6.11128569243685
"298",298,10613,110,6,1,11,2.77023303416232
"299",299,1551,155,35,1,10,9.54932854495174
"300",300,8420,35,15,1,17,2.72476334072882
"301",301,1876,162,10,1,19,20.6755909724804
"302",302,10122,126,10,1,30,3.03264941589115
"303",303,5388,187,20,1,25,17.22411539386
"304",304,11651,45,24,1,27,16.7431666658956
"305",305,4115,167,18,1,29,17.8289304481635
"306",306,11895,55,8,1,27,24.6871733305948
"307",307,6053,100,6,1,11,22.5545278998357
"308",308,1816,155,19,1,28,9.1235573927327
"309",309,779,178,35,1,14,7.16444772578636
"310",310,2480,41,14,1,19,23.5312912660562
"311",311,285,43,10,1,23,21.6587398504275
"312",312,5350,36,38,1,29,0.583473580370657
"313",313,709,177,36,1,9,20.7280374584326
"314",314,3636,183,13,1,24,25.1189343080893
"315",315,6286,88,25,1,27,16.3168517648636
"316",316,12056,38,38,1,31,21.0897886368847
"317",317,10721,97,8,1,27,17.8559514281692
"318",318,9445,165,18,1,24,11.3695550562977
"319",319,8297,97,14,1,9,17.0809553843187
"320",320,8698,75,34,1,22,4.52676347898087
"321",321,8372,146,8,1,20,11.7228798834507
"322",322,528,145,33,1,14,6.37443294621282
"323",323,12240,200,40,1,11,18.0190963212794
"324",324,3920,48,38,1,31,9.09629638980585
"325",325,1723,49,31,1,23,4.59577644530311
"326",326,3282,35,34,1,31,20.2190714421736
"327",327,4241,118,36,1,13,8.6913580400846
"328",328,11565,154,9,1,14,11.4244116369393
"329",329,8052,84,28,1,11,4.82228746982687
"330",330,11609,83,13,1,8,9.86434593475354
"331",331,5264,119,10,1,14,9.53528465902549
"332",332,3438,119,27,1,24,25.04741672606
"333",333,9394,148,33,1,23,10.173752360743
"334",334,5210,63,16,1,21,0.0380840873564594
"335",335,7473,120,12,1,32,1.40941479311511
"336",336,2188,70,13,1,21,13.6502062041836
"337",337,1980,45,18,1,20,18.2427105974378
"338",338,5168,111,18,1,12,21.5394364953712
"339",339,9685,156,19,1,30,12.2520988478465
"340",340,4318,162,12,1,31,23.9352084864667
"341",341,9936,99,31,1,30,9.55510614833119
"342",342,8181,33,7,1,29,10.9675205131692
"343",343,1285,171,30,1,8,22.3140215270389
"344",344,5081,33,21,1,27,8.97076974502811
"345",345,6707,132,36,1,13,1.54634285673476
"346",346,8896,68,9,1,32,4.79365747926664
"347",347,2928,200,29,1,31,8.8805503775666
"348",348,7064,170,35,1,28,2.76794321314921
"349",349,11239,74,35,1,21,18.210354060225
"350",350,4795,119,16,1,18,11.7956401083744
"351",351,6644,38,12,1,31,15.2641619479067
"352",352,5019,150,38,1,17,18.4217031176009
"353",353,915,112,8,1,30,22.070743707923
"354",354,1205,167,23,1,23,2.17590335306968
"355",355,8920,57,40,1,29,8.44781911591184
"356",356,12051,151,14,1,8,3.45138363258354
"357",357,4578,75,5,1,19,3.33056030922639
"358",358,10130,190,8,1,18,23.4819438417
"359",359,9958,175,32,1,32,19.1657070709143
"360",360,3013,36,38,1,8,0.0649746073803399
"361",361,5172,44,37,1,10,21.3490459620843
"362",362,8096,68,37,1,28,21.6360408562978
"363",363,5886,149,6,1,31,9.32282774375216
"364",364,8631,95,8,1,14,22.1163738402955
"365",365,10005,102,26,1,11,11.8762967684292
"366",366,10702,159,13,1,32,17.9964249554211
"367",367,10316,144,37,1,21,19.5377895693597
"368",368,5637,197,32,1,20,11.4545207148432
"369",369,10589,163,21,1,15,0.726613482601475
"370",370,9906,166,31,1,9,20.084269268533
"371",371,5111,27,12,1,19,8.35471789393201
"372",372,446,176,29,1,25,21.720703362741
"373",373,1124,164,34,1,31,17.1507334958117
"374",374,5807,93,29,1,27,18.1588171478054
"375",375,2121,63,36,1,14,11.5821795427748
"376",376,6905,199,15,1,29,4.56179604687705
"377",377,11186,142,12,1,22,9.79444919691537
"378",378,3576,45,29,1,21,4.67501699912059
"379",379,8297,182,37,1,18,21.7799853100793
"380",380,11177,78,39,1,10,8.45346401350992
"381",381,9916,84,35,1,23,7.99546212587645
"382",382,9570,118,17,1,21,10.7343986504117
"383",383,10429,32,36,1,26,22.6211376384329
"384",384,7256,110,37,1,14,6.03550561971264
"385",385,4757,72,6,1,22,16.6174976843111
"386",386,2005,135,24,1,16,23.5503691118718
"387",387,3662,152,40,1,11,22.7694696381644
"388",388,5851,175,21,1,14,25.4968498823992
"389",389,2310,187,37,1,21,0.832805575559381
"390",390,10090,198,25,1,13,18.40088912676
"391",391,4574,39,34,1,30,5.50882274306775
"392",392,4386,144,14,1,11,13.7054173003396
"393",393,5015,98,36,1,32,25.9455730082055
"394",394,11803,67,25,1,16,16.0002532704186
"395",395,12138,52,6,1,16,8.96963336424134
"396",396,1419,110,25,1,28,8.60388059037877
"397",397,6563,158,32,1,26,26.2214771443007
"398",398,7672,130,31,1,13,15.6621719193668
"399",399,10563,150,7,1,9,18.8510298703995
"400",400,8803,94,15,1,16,22.4828273283243
"401",401,7778,135,36,1,28,21.1410815468754
"402",402,4401,56,5,1,19,25.8766150516348
"403",403,8875,103,14,1,22,3.78280850137491
"404",404,7197,85,33,1,24,6.48634667031304
"405",405,6435,158,28,1,31,24.3775073666724
"406",406,3629,110,11,1,12,9.01120479989657
"407",407,4913,104,37,1,25,3.39741405642219
"408",408,10906,98,12,1,27,22.6026515176336
"409",409,10218,171,9,1,26,23.5279718199463
"410",410,2414,125,14,1,21,25.1604461930355
"411",411,6870,117,16,1,15,8.9138519460333
"412",412,7061,61,10,1,23,19.4524405207331
"413",413,2264,47,23,1,8,17.0807570320864
"414",414,9143,61,27,1,25,26.169986178227
"415",415,5763,193,40,1,11,24.654885678967
"416",416,6289,183,11,1,29,21.6885055122499
"417",417,7071,153,33,1,16,16.2409721427516
"418",418,1660,165,30,1,19,5.37232387397019
"419",419,6089,57,22,1,22,11.1470365082507
"420",420,5482,107,10,1,9,15.3380679440212
"421",421,4485,104,13,1,15,11.9786520792891
"422",422,7673,183,16,1,10,12.9237315684769
"423",423,10361,83,34,1,16,14.3048280414161
"424",424,11441,33,12,1,29,22.0631406581337
"425",425,11014,113,21,1,12,23.1698944118554
"426",426,12309,147,5,1,8,9.58680550533999
"427",427,5167,44,12,1,21,20.3931111473837
"428",428,580,155,21,1,21,4.69034643258597
"429",429,4658,37,34,1,28,24.0657805299044
"430",430,5237,166,21,1,29,2.1483550420336
"431",431,1023,199,5,1,19,21.2030718483704
"432",432,2665,163,22,1,27,3.23540255792555
"433",433,10840,58,17,1,25,13.2428494429106
"434",434,10743,186,10,1,30,22.4916256556129
"435",435,6339,199,16,1,19,15.7217601962436
"436",436,2288,72,12,1,9,14.7459861973105
"437",437,5993,104,28,1,31,9.1950114013569
"438",438,1188,64,12,1,10,16.891987503405
"439",439,6679,86,34,1,32,6.1286765663675
"440",440,5305,156,19,1,26,11.1016238359169
"441",441,6391,64,17,1,25,25.5188225947975
"442",442,7949,112,5,1,16,26.1805068549146
"443",443,5288,63,12,1,23,9.28809371296339
"444",444,8889,180,18,1,31,0.193216923672939
"445",445,9867,40,40,1,31,3.12591118169622
"446",446,10900,160,38,1,21,1.51691324427747
"447",447,8669,136,34,1,21,21.8496087452071
"448",448,7929,176,5,1,17,19.6697695749262
"449",449,638,33,8,1,31,6.85713874092395
"450",450,3523,118,34,1,14,22.3170302877461
"451",451,10829,46,20,1,15,17.0599119023697
"452",452,7828,44,24,1,9,23.8183640352231
"453",453,10250,185,8,1,14,24.6431395237108
"454",454,3436,128,25,1,10,20.998900520883
"455",455,3593,181,32,1,17,14.2464039710304
"456",456,5117,67,10,1,27,25.3382623645819
"457",457,422,95,11,1,32,3.47162119329092
"458",458,1034,146,19,1,12,18.1861601347586
"459",459,4072,61,31,1,27,6.03980860266858
"460",460,7660,33,28,1,10,1.13627151599782
"461",461,3197,26,11,1,15,25.0736666132277
"462",462,10998,124,31,1,23,11.8499977698189
"463",463,10445,43,11,1,23,15.3633065611853
"464",464,291,123,26,1,22,20.0004194824281
"465",465,10070,195,34,1,23,0.414997868443606
"466",466,9636,115,19,1,9,1.13133376764576
"467",467,1904,105,13,1,20,16.7173307092162
"468",468,10012,28,36,1,18,2.60726425740006
"469",469,5522,200,21,1,23,25.9386107270075
"470",470,9539,74,11,1,25,4.36105710947816
"471",471,312,96,14,1,26,8.34294533819053
"472",472,5063,81,26,1,27,19.3193996092891
"473",473,5326,43,11,1,15,24.0520067445731
"474",474,7043,174,13,1,18,21.2542882716081
"475",475,3317,167,29,1,9,12.0783497577473
"476",476,10631,125,35,1,17,2.50253258820367
"477",477,657,129,38,1,15,6.20224005335802
"478",478,382,158,15,1,28,13.9117942128442
"479",479,4929,113,8,1,27,8.84626231692964
"480",480,6733,57,20,1,32,4.01277795862523
"481",481,6285,168,17,1,17,23.7765135589628
"482",482,9567,159,28,1,29,8.9283162468858
"483",483,9496,52,13,1,15,2.90777914924617
"484",484,9782,52,5,1,32,14.3744840653178
"485",485,9052,105,7,1,16,20.8907142380534
"486",486,2519,147,15,1,10,17.8195604476412
"487",487,2333,137,24,1,16,17.4594675330913
"488",488,3582,190,9,1,15,14.9594074799258
"489",489,10318,197,13,1,15,18.2267533210686
"490",490,2443,129,7,1,22,21.9515179995382
"491",491,5780,171,14,1,21,12.5496253330871
"492",492,8697,144,21,1,17,20.6858134267193
"493",493,7677,182,21,1,19,10.2537573995648
"494",494,4046,84,26,1,26,16.3519624051461
"495",495,7995,171,36,1,20,3.74621083324286
"496",496,995,119,23,1,16,4.38366692561889
"497",497,393,181,34,1,32,24.8426038340798
"498",498,5283,142,19,1,18,21.1145264160503
"499",499,10917,107,34,1,32,15.1096332933907
"500",500,4769,70,15,1,30,10.2289932384233
"501",501,3308,49,26,1,19,1.73141450972762
"502",502,4418,76,24,1,12,19.1230676711542
"503",503,2662,130,17,1,8,6.26225352057023
"504",504,8376,192,21,1,21,8.53441541008814
"505",505,2528,104,9,1,18,21.8540983393055
"506",506,5151,102,37,1,8,5.84588988113124
"507",507,10784,104,35,1,8,12.0129840193959
"508",508,4258,164,32,1,13,13.5723110509336
"509",509,11009,126,20,1,11,24.8755262079153
"510",510,5779,158,30,1,27,11.1217076765748
"511",511,971,62,11,1,25,14.0211013718054
"512",512,6824,85,23,1,13,11.8261078046958
"513",513,9549,175,6,1,24,3.77191547851101
"514",514,2478,88,15,1,27,2.19776437395462
"515",515,12245,158,30,1,19,8.9182069463979
"516",516,2576,189,39,1,17,2.40449672744051
"517",517,1071,187,23,1,15,19.4161827765876
"518",518,5614,139,6,1,30,20.5389555846779
"519",519,1861,171,11,1,25,17.9436413650715
"520",520,2624,78,36,1,18,23.918672848823
"521",521,9182,58,21,1,27,18.3168371138014
"522",522,2882,138,8,1,29,8.73443774613924
"523",523,7771,121,20,1,9,21.4493204717117
"524",524,10126,87,16,1,26,6.6993210079514
"525",525,2494,133,40,1,26,8.28618029675959
"526",526,3388,53,31,1,22,0.514895990689285
"527",527,2517,48,6,1,10,15.3556722244455
"528",528,8332,113,25,1,19,13.732085017296
"529",529,3604,110,38,1,22,2.93685712747602
"530",530,3058,41,23,1,22,11.0610771142142
"531",531,9351,72,9,1,10,24.8248148119561
"532",532,4267,143,38,1,28,18.4562650794168
"533",533,9828,184,22,1,21,14.6465332369755
"534",534,1453,184,37,1,29,1.91540080600791
"535",535,6737,81,40,1,10,16.9138029111121
"536",536,5908,192,14,1,8,7.15971478325571
"537",537,9794,159,27,1,26,19.9928893224106
"538",538,11751,142,35,1,27,6.28157218520856
"539",539,7728,45,21,1,20,14.6701265282645
"540",540,11832,31,38,1,18,19.6629022157816
"541",541,5187,200,25,1,18,17.1765469451365
"542",542,2439,92,8,1,21,16.3302206029051
"543",543,493,39,5,1,15,23.8022413223938
"544",544,1365,168,25,1,16,11.4074635372148
"545",545,10952,62,35,1,27,9.39537200172385
"546",546,9824,133,8,1,12,22.606491390791
"547",547,9796,168,40,1,28,19.1281278464354
"548",548,7078,113,27,1,32,2.24689673214662
"549",549,857,140,12,1,23,20.048307932921
"550",550,528,117,11,1,32,13.4765797014278
"551",551,5810,125,26,1,20,15.7913997838534
"552",552,12059,191,36,1,23,18.6023645877237
"553",553,11893,26,18,1,30,25.8215065774168
"554",554,10155,115,27,1,32,24.9292648245611
"555",555,11009,101,40,1,13,22.7410008947842
"556",556,10457,70,40,1,22,13.5652469930574
"557",557,3759,139,10,1,8,17.2974070342081
"558",558,1256,129,33,1,24,11.0421518778878
"559",559,771,99,33,1,21,19.8100648572564
"560",560,9682,167,16,1,22,14.1487496679239
"561",561,9583,167,14,1,13,9.15922431264981
"562",562,6586,134,19,1,16,4.64428810519562
"563",563,8874,141,25,1,28,18.467675154459
"564",564,6314,79,6,1,24,15.1212806951606
"565",565,5709,157,28,1,10,3.0015362310973
"566",566,1160,42,5,1,21,2.24942486088234
"567",567,3086,47,17,1,24,26.0046081211863
"568",568,11427,158,29,1,19,23.7181922709292
"569",569,6169,173,35,1,19,9.33774113666476
"570",570,6633,182,22,1,28,6.9868474101359
"571",571,1335,184,29,1,21,9.12051344577456
"572",572,935,164,22,1,8,13.3822535931782
"573",573,5909,160,38,1,26,16.9812612288045
"574",574,6888,136,28,1,17,11.7198255712634
"575",575,10413,130,26,1,28,5.26719587666565
"576",576,11025,199,38,1,9,13.4687780896337
"577",577,6266,44,18,1,14,22.8846001802669
"578",578,336,132,40,1,20,0.706176563987741
"579",579,11269,154,38,1,26,20.246417859524
"580",580,3424,127,16,1,18,9.42735823495732
"581",581,790,103,22,1,14,7.59201041530864
"582",582,4608,82,14,1,29,20.3954830819885
"583",583,12020,103,23,1,31,5.8591257234118
