X1,SimNumber,Targets,Span,Samples,Phases,Errors,OffsetVaria
47,47,363,148,40,6,12,23.462218187575
48,48,675,108,22,5,24,13.9880504197709
49,49,1018,76,37,7,23,14.6915713852011
50,50,1131,62,33,9,18,19.2644432386383
51,51,585,117,30,10,8,14.4658516472026
52,52,344,98,19,3,13,2.65258577741566
53,53,549,189,18,8,14,4.86866302258591
54,54,957,50,11,10,20,23.0696674280374
55,55,966,91,13,2,12,23.3924670380172
56,56,331,160,38,6,8,2.92044421908073
57,57,318,55,38,6,31,24.7170971978961
58,58,268,135,16,7,19,22.3599223584749
59,59,694,105,26,7,13,4.14776255412819
60,60,1094,200,22,8,28,23.3980237818097
61,61,286,154,10,6,14,11.4961287372892
62,62,605,81,19,7,32,16.4968987249755
63,63,1039,71,31,7,12,17.1489569695813
64,64,676,189,25,4,20,3.18040557161812
65,65,257,65,29,7,9,18.6929178266183
66,66,1185,178,19,8,10,26.0537853521826
67,67,315,188,26,9,12,24.8618208145867
68,68,961,98,23,2,11,13.4027800599677
69,69,704,133,13,3,24,14.2408002937273
70,70,572,31,23,1,15,14.2937249128905
71,71,1001,162,15,1,16,16.5782281562665
72,72,971,109,16,1,13,6.96454678631132
73,73,1200,92,33,6,22,6.30901334568881
74,74,992,118,30,2,14,16.6125226766623
75,75,929,88,29,4,15,16.3327187094952
76,76,508,35,22,10,32,9.37274976581754
77,77,354,143,34,1,25,17.4097575725077
78,78,1082,29,27,5,11,4.5628059718688
79,79,1161,58,12,10,9,11.5941025547525
80,80,480,88,35,10,16,24.5689253224449
81,81,371,199,25,2,11,5.39654945040401
82,82,946,30,38,10,22,23.1761111677806
83,83,526,100,18,4,26,4.89040865008999
84,84,733,84,37,10,27,4.08013782515051
85,85,484,77,10,5,19,17.4064982755755
86,86,308,28,14,1,19,18.3633500120158
87,87,1031,199,36,2,11,5.0980623428775
88,88,400,155,13,6,31,12.5686910244375
89,89,427,58,40,10,22,25.8803478544436
90,90,566,181,19,3,15,0.840688233573455
91,91,664,58,20,6,22,26.2509635804247
92,92,1197,174,19,9,15,0.278562511053402
93,93,668,131,12,5,31,24.1310192325015
94,94,746,165,39,2,27,4.76417569515621
95,95,882,170,14,7,29,4.03682335899631
96,96,939,139,10,4,9,2.45936433964735
97,97,289,35,30,8,20,6.88495143316966
98,98,269,154,40,1,13,10.4368247010596
99,99,1058,56,32,3,24,24.1213873742092
100,100,395,146,35,10,21,7.55073111252999
101,101,1027,140,20,10,13,1.1222313936369
102,102,946,127,14,5,23,21.2807189703258
103,103,769,43,19,7,11,8.93789025115827
104,104,683,164,11,1,27,0.947223884517793
105,105,369,92,37,7,21,25.9053084305068
106,106,441,41,37,1,12,3.81243150556204
107,107,345,174,38,5,10,13.0427736210434
108,108,537,49,20,3,30,16.5425139758405
109,109,1014,77,33,3,29,20.7593349468715
110,110,680,83,36,2,32,15.4284493422247
111,111,341,183,13,4,14,5.05327093029302
112,112,699,78,13,1,8,5.06492692656536
113,113,333,67,32,8,16,14.404261412702
114,114,393,124,31,10,22,3.90075007509999
115,115,1116,69,33,4,22,14.7143638453162
116,116,1040,40,16,4,29,22.0417432961576
117,117,289,193,17,9,26,21.8441053514956
118,118,293,51,13,3,13,17.3427846868751
119,119,385,102,11,1,9,5.63701672530989
120,120,267,79,37,5,19,4.85497330666636
121,121,349,133,13,7,18,3.72806458090199
122,122,403,196,32,10,24,6.36930832758755
123,123,701,121,33,2,25,13.7613351200267
124,124,839,125,32,5,32,7.22525169596192
125,125,313,139,11,3,19,6.77462751310132
126,126,651,123,30,1,10,22.9219096743376
127,127,321,52,21,10,11,4.02717243608623
128,128,618,109,40,2,23,13.6014386218488
129,129,1071,184,20,5,16,4.96175581047754
130,130,1082,137,12,4,19,16.3272856327575
131,131,515,64,19,4,29,2.0751807940749
132,132,1103,133,12,4,19,19.2369858269596
133,133,1157,170,26,5,24,9.12940681234235
134,134,343,105,37,9,26,3.58626401434559
135,135,927,102,12,1,11,15.0673689730191
136,136,366,162,16,9,12,10.1779656227694
137,137,557,130,27,4,9,18.4705423125632
138,138,344,97,37,5,25,21.1631410989163
139,139,417,30,39,6,24,19.4616687027102
140,140,1112,171,39,6,27,4.17390358788101
141,141,884,95,21,9,25,2.91976456237095
142,142,842,81,25,3,13,6.16751616568631
143,143,1142,127,16,7,30,25.7072830483885
144,144,678,88,25,4,18,3.66334755164781
145,145,952,180,23,6,10,6.88149769564508
146,146,769,96,20,10,24,10.9462748969132
147,147,1198,88,40,5,28,12.052826065934
148,148,1090,38,23,6,13,0.193564658599906
149,149,1131,78,17,2,9,1.98083274609037
150,150,1105,169,16,2,9,6.1540536703961
151,151,766,103,23,6,10,2.20356747086183
152,152,1121,93,34,1,18,21.2510165178915
153,153,595,189,26,5,15,17.1862023164574
154,154,1145,117,26,4,28,1.28611413064483
155,155,339,197,32,8,8,1.01774765084893
156,156,655,110,25,7,11,15.9627308202481
157,157,465,55,22,8,9,5.39361214191001
158,158,989,129,14,7,10,3.5715544092408402
159,159,999,100,27,6,25,19.8997398650968
160,160,742,186,25,8,31,7.87554407571582
161,161,930,115,15,2,11,8.33983730573556
162,162,427,51,29,3,14,0.588865072796354
163,163,334,55,17,9,14,18.012994039438
164,164,718,71,17,4,23,21.8338277270908
165,165,826,86,24,2,24,15.7643360287684
166,166,529,69,17,4,17,3.91847063735337
167,167,827,199,27,6,29,25.5828059077363
168,168,561,198,19,7,29,20.7467992696469
169,169,1026,63,37,10,12,16.4044318796957
170,170,994,38,30,2,18,6.06071903949836
171,171,265,53,19,2,31,10.66939482514
172,172,889,128,15,9,24,6.34078309987858
173,173,470,88,15,7,21,18.8022205063198
174,174,860,42,13,4,23,24.7149953206978
175,175,917,189,21,3,21,19.6404980383825
176,176,342,138,30,6,19,9.22298612434463
177,177,778,71,32,5,31,7.57984807759477
178,178,778,106,38,1,30,17.4363988396206
179,179,277,38,35,1,9,7.71526946878782
180,180,861,44,16,8,26,12.6105369659101
181,181,944,91,19,7,21,21.0040457465709
182,182,479,96,21,10,26,0.525093050116906
183,183,420,180,17,7,30,25.234142200714
184,184,784,167,29,3,12,4.81557657628343
185,185,262,70,38,5,27,17.2480868741062
186,186,630,191,18,6,14,6.36505894150375
187,187,475,66,21,3,31,7.24970095157181
188,188,455,37,40,10,24,18.9939611477156
189,189,335,46,31,4,22,2.0089977265601
190,190,796,54,36,8,23,6.44345545718353
191,191,733,145,28,7,24,11.0313910425438
192,192,1024,173,37,10,18,14.3289353987102
193,193,394,127,24,3,30,8.1876846887276
194,194,422,67,32,7,8,8.46214107378782
195,195,532,198,29,4,32,7.92811914603692
196,196,579,104,27,7,9,21.3364407576176
197,197,1076,200,30,10,23,10.4103867281722
198,198,447,168,37,8,8,4.28765387633326
199,199,971,69,37,10,13,17.7464176408774
200,200,677,168,23,1,21,0.354376215244178
201,201,409,86,14,7,24,23.1517731779693
202,202,1060,138,11,10,32,4.80809761309391
203,203,533,124,12,10,11,23.1918962271023
204,204,357,130,27,9,20,1.26803474637121
205,205,890,61,29,9,18,18.492892868411
206,206,801,186,23,6,15,7.13348578079068
207,207,666,50,23,3,18,22.7486002858945
208,208,581,26,12,1,13,4.60758112091525
209,209,1125,70,15,10,30,3.10559301899304
210,210,1092,168,11,8,11,10.8839921478829
211,211,254,59,29,3,16,5.80507052305434
212,212,522,192,12,10,27,19.4850714280282
213,213,965,161,26,1,16,5.97076471958263
214,214,989,36,13,5,16,3.68354265193455
215,215,829,146,24,7,16,4.75166466002981
216,216,543,52,38,3,12,10.9166876157478
217,217,622,185,32,4,9,4.68687765930942
218,218,308,99,13,2,12,23.1117496350356
219,219,1148,198,34,1,30,15.2823070094802
220,220,897,81,32,6,26,12.8861212236315
221,221,892,188,37,9,10,15.5245439745011
222,222,791,58,24,5,10,22.0974699514052
223,223,512,104,18,8,21,2.42618709223205
224,224,1015,77,24,10,20,20.7181641149814
225,225,951,86,39,4,23,0.446010510515189
226,226,1018,62,17,10,32,17.5872746825155
227,227,875,157,38,2,23,15.1075105993573
228,228,916,133,36,6,30,1.75444640046521
229,229,489,90,34,2,29,2.26836060434277
230,230,972,61,13,9,24,5.68711509817489
231,231,537,37,17,8,15,22.7492853966891
232,232,792,163,21,7,12,1.53931656407728
233,233,1079,106,10,5,28,17.1966514113664
234,234,1188,185,30,4,23,0.678582911244128
235,235,1137,78,35,8,24,8.75919312768499
236,236,291,92,19,3,28,22.4954980496767
237,237,273,128,38,7,20,25.4413364794007
238,238,741,122,33,1,8,22.2298474573379
239,239,494,171,14,4,22,22.2553058605473
240,240,880,171,35,3,26,3.37938533837558
241,241,252,60,25,6,32,3.65734240064071
242,242,458,65,28,10,11,20.3781749447973
243,243,1025,108,10,5,15,6.58562898689415
244,244,868,44,39,1,30,25.43375387009
245,245,733,46,19,9,9,3.00714014285197
246,246,483,83,36,6,18,13.7690941480047
247,247,420,195,14,2,19,14.0848382020642
248,248,974,70,12,4,26,8.93649346866948
249,249,1097,108,35,4,15,22.7157842728831
250,250,971,189,25,8,23,8.75051140922378
251,251,710,170,39,10,31,8.58419542234507
252,252,499,90,37,3,12,17.1884506765541
253,253,959,61,20,4,20,15.8300350277447
254,254,424,106,38,7,18,13.3958829316383
255,255,1094,197,40,2,15,23.5676318826764
256,256,1036,84,35,9,9,13.1444543529218
257,257,1035,150,12,6,12,12.1236375229007
258,258,1187,124,21,9,15,9.22977527536778
259,259,350,65,26,6,15,6.4645899557157
260,260,661,35,27,1,8,16.5190537358406
261,261,767,179,26,10,29,16.9781274190119
262,262,271,187,40,9,20,1.80222467721044
263,263,954,47,39,4,32,21.315642660128
264,264,843,150,37,2,22,8.3383490377604
265,265,1181,106,13,2,14,8.33439770754124
266,266,721,53,31,6,24,16.8972434396113
267,267,266,105,34,8,15,15.0893491693595
268,268,708,94,10,9,23,6.66324572885665
269,269,921,199,36,2,21,24.2352825660964
270,270,1049,170,24,4,26,24.5578660178611
271,271,759,99,13,2,10,24.6671047539706
272,272,932,73,12,9,10,4.57038117744448
273,273,1190,73,21,8,26,8.87408576927031
274,274,587,37,20,8,12,3.65690310002025
275,275,639,83,17,6,15,16.3945022493487
276,276,1113,170,29,5,23,12.8816375093327
277,277,809,54,23,4,27,24.2975146057112
278,278,421,39,11,2,18,14.8701774612423
279,279,915,39,29,3,13,21.0371613208731
280,280,783,120,35,9,30,7.00725367728644
281,281,331,56,31,1,11,14.8864455093911
282,282,346,58,36,1,16,15.3899036896976
283,283,770,175,21,10,32,6.84894450905896
284,284,722,198,11,8,9,24.2891280988464
285,285,376,38,38,5,21,8.81230195177672
286,286,666,111,27,6,29,19.9082713124151
287,287,1151,57,30,10,10,17.7541766071576
288,288,666,100,36,7,13,12.5649442409091
289,289,306,152,18,3,21,8.98254264627723
290,290,259,152,28,9,22,5.5860447610647
291,291,1047,104,33,3,25,9.35889023289457
292,292,1169,120,26,10,28,23.0879870511745
293,293,1153,93,19,2,28,21.6798369909464
294,294,265,88,10,7,24,22.1584991123527
295,295,853,40,10,9,27,6.22055435814545
296,296,840,152,27,6,14,12.7998735404909
297,297,377,182,40,9,20,4.55103576064343
298,298,368,119,35,1,12,5.5085351449789
299,299,1075,38,13,4,21,4.4069986306082
300,300,599,175,32,5,21,19.3754710503093
301,301,878,106,16,8,19,22.3629723209678
302,302,416,194,38,4,30,6.12008818432642
303,303,1000,156,11,5,32,15.5787024939815
304,304,415,136,15,7,28,16.5724393177191
305,305,521,72,35,2,28,3.00213597065676
306,306,1087,35,23,1,16,1.27148265962419
307,307,639,193,38,3,15,18.4223210641788
308,308,984,171,37,5,24,19.5312218949015
309,309,546,177,10,9,22,2.98561756520648
310,310,563,126,34,6,30,20.2831087406806
311,311,290,157,33,8,21,5.50379855610873
312,312,577,55,10,2,8,7.48346706884587
313,313,823,174,11,2,27,19.7242994163996
314,314,1022,112,26,5,24,21.0199604329541
315,315,1196,192,24,5,20,4.95864018302434
316,316,778,73,36,4,32,25.9781571855927
317,317,400,156,12,7,27,18.3149388763362
318,318,472,160,29,2,15,20.0687502254124
319,319,826,194,38,4,17,14.1366969856962
320,320,914,26,14,4,30,13.549375211319
321,321,338,55,36,9,10,18.9181258246184
322,322,505,39,14,10,9,13.9891883368327
323,323,995,101,28,3,11,20.1803007161003
324,324,911,41,15,3,14,22.4494280984222
325,325,1092,169,13,10,9,7.40281287670275
326,326,560,48,10,9,29,1.47225878228247
327,327,347,52,39,7,11,25.2899919060385
328,328,1028,189,39,9,16,3.48477773539908
329,329,868,98,40,1,27,16.4552635061427
330,330,865,97,33,1,15,8.69506530617713
331,331,256,176,37,10,17,3.27529085929855
332,332,808,73,38,6,27,21.3431907552218
333,333,532,200,17,1,18,3.18051327745407
334,334,1196,173,13,6,22,5.99354156398657
335,335,1108,185,31,5,12,9.93838793748128
336,336,610,72,14,10,21,17.1443782468522
337,337,695,168,32,3,13,16.3526660622971
338,338,1146,36,27,9,21,25.5313511274178
339,339,499,65,31,8,14,8.90112492544553
340,340,410,27,19,7,30,20.8392321194431
341,341,986,115,36,6,19,14.0024874378596
342,342,747,83,31,7,26,10.2407022269294
343,343,389,127,32,10,27,7.01701979614445
344,344,1132,73,27,6,21,14.3770504034962
345,345,885,199,19,9,32,3.33460867773322
346,346,972,106,20,7,13,22.08727869157
347,347,570,139,38,3,13,7.58681242566882
348,348,334,65,27,2,11,20.5719021748968
349,349,1014,172,14,9,31,24.0014934787343
350,350,852,25,33,6,20,4.42635101925978
351,351,765,67,28,4,17,13.559651515391
352,352,1152,112,11,10,19,7.35383713835641
353,353,661,94,33,7,15,2.14794482575241
354,354,887,54,19,9,12,21.0338486800296
355,355,498,55,27,2,14,3.61153815709846
356,356,404,128,16,6,29,1.06615765745891
357,357,1053,132,25,3,18,14.3561801442688
358,358,439,123,26,10,14,6.79335112104262
359,359,425,124,23,9,27,14.1557667429312
360,360,615,48,37,2,8,19.7825106417416
361,361,339,113,24,6,19,23.1928601625597
362,362,880,187,11,5,13,21.2770172138461
363,363,1194,66,18,3,20,21.263838565419
364,364,490,140,13,9,20,21.1046747963917
365,365,584,102,22,8,19,16.4948322129517
366,366,405,96,38,8,8,13.0293356938141
367,367,945,182,19,3,29,0.200695769636659
368,368,760,131,16,10,15,4.35093967722123
369,369,588,190,16,6,20,24.7912438524191
370,370,294,132,29,1,29,14.1116544009275
371,371,723,35,39,3,20,5.20497232666705
372,372,732,89,27,4,13,25.3374934496761
373,373,495,44,39,3,8,4.62101555604953
374,374,823,134,27,8,26,21.5540720075972
375,375,265,25,38,5,12,8.88195116424211
376,376,738,120,17,9,26,4.62900494507444
377,377,811,139,13,6,19,22.3621632654783
378,378,262,136,15,6,15,1.92799943965976
379,379,830,72,38,3,13,25.430881313429
380,380,1042,28,36,2,31,3.82571712562139
381,381,370,158,19,5,30,6.97508729883912
382,382,614,57,18,4,22,11.9773771314307
383,383,987,33,32,2,26,20.6822858431072
384,384,612,80,10,6,22,24.4968670271339
385,385,1120,106,21,8,19,11.7787522133556
386,386,1028,50,14,5,12,22.9520348306862
387,387,566,92,14,4,12,10.8618736682807
388,388,924,150,28,2,19,16.8547460619991
389,389,1056,156,15,5,27,24.0288905869909
390,390,760,84,39,6,22,18.7432052106699
391,391,827,31,17,9,9,17.2805286653284
392,392,629,132,23,8,23,1.11522116708453
393,393,509,158,18,8,8,1.07306881586625
394,394,1119,94,14,2,21,14.8704955318708
395,395,417,85,24,3,24,22.6524492556662
396,396,520,120,39,6,16,16.0172119142958
397,397,334,57,34,3,11,2.61731600001757
398,398,969,66,10,1,13,17.7526643078923
399,399,333,176,37,4,14,17.9403674766114
400,400,707,148,34,9,19,24.496791262245
401,401,519,162,34,1,11,9.07387613396207
402,402,1083,150,33,1,12,20.3561256901179
403,403,991,29,13,5,8,20.2166228665712
404,404,914,106,37,10,10,0.738636944754748
405,405,543,66,17,10,13,16.7249738872496
406,406,1076,163,20,10,30,12.6887853945489
407,407,1185,107,36,9,11,26.3098497549349
408,408,1133,72,39,9,18,13.8791527613965
409,409,700,157,37,9,29,3.18190070038778
410,410,946,191,34,4,17,0.323957747591194
411,411,261,174,22,1,31,3.07364601938566
412,412,341,75,39,8,19,24.5080324889391
413,413,596,162,16,10,11,21.5051313629551
414,414,737,146,34,5,31,9.74452935895184
415,415,889,130,21,9,11,26.4164415878889
416,416,1111,77,30,7,30,20.4673918526999
417,417,382,150,38,8,32,23.825809089306
418,418,486,134,17,1,9,26.0078517160304
419,419,427,59,11,6,14,16.1803839791138
420,420,1179,47,13,9,24,4.98855193904904
421,421,740,71,36,5,23,24.5221480368511
422,422,1095,112,20,10,22,12.9202730370339
423,423,451,92,38,4,12,9.40160465100035
424,424,1006,55,15,9,27,4.57447514061979
425,425,926,56,30,4,17,0.388394903320121
426,426,1044,65,31,9,11,11.7101365499666
427,427,535,145,29,2,8,5.20251592161483
428,428,1112,179,33,3,11,9.42787916175695
429,429,595,124,34,5,11,6.28254625761323
430,430,990,193,27,10,10,6.35365928104892
431,431,1067,146,34,8,18,4.00333180451789
432,432,983,103,35,4,21,2.97789073113655
433,433,1022,170,11,6,20,14.0415474463715
434,434,380,107,28,2,27,10.8276780679552
435,435,668,125,27,6,15,2.0605850707551
436,436,961,177,26,2,20,16.0513852787369
437,437,1112,135,20,5,10,7.82991630019899
438,438,516,124,35,2,10,17.0156919840954
439,439,878,99,11,7,17,7.03393417185568
440,440,846,128,40,7,23,17.0357347401935
441,441,363,184,20,9,23,8.94836831318075
442,442,351,133,10,7,8,25.7544246717852
443,443,731,181,24,2,28,0.521285778072895
444,444,462,143,26,7,25,9.44522133145039
445,445,954,175,22,8,13,22.2733336346177
446,446,743,197,16,6,23,13.3863428056235
447,447,851,92,26,6,21,6.0763057157388
448,448,583,46,32,1,14,14.8801487869574
449,449,733,183,16,4,21,3.27776591559337
450,450,331,100,13,3,32,7.70345504492451
451,451,268,92,17,2,23,5.4602929501941
452,452,1174,168,30,1,12,0.205865143840434
453,453,585,68,10,6,31,25.7802523054325
454,454,556,43,23,9,30,1.40290224563424
455,455,416,60,33,4,14,2.61241029749881
456,456,345,191,29,4,24,16.9825325550025
457,457,447,131,35,8,9,26.1575939360298
458,458,714,147,37,3,19,13.7128845039299
459,459,888,56,10,2,18,19.0831583061549
460,460,437,187,21,1,30,0.456462560748449
461,461,1187,45,38,1,17,14.4811732327088
462,462,482,193,34,5,28,5.05013863209635
463,463,522,70,34,3,22,23.0419514038926
464,464,443,102,34,1,11,10.4023305451174
465,465,299,85,27,4,21,10.6162406840199
466,466,927,58,24,7,23,1.97022977071768
467,467,454,35,12,7,14,9.62685436287778
468,468,853,186,39,5,25,25.547836641775
469,469,955,157,18,2,19,24.4340010858921
470,470,1118,55,32,9,19,0.216564534353092
471,471,338,197,36,3,20,21.9943998839615
472,472,939,134,40,6,8,8.5984300716752209
473,473,379,145,38,1,19,18.1238866218878
474,474,659,43,10,8,14,4.17294410083443
475,475,447,28,16,10,11,12.2230023417696
476,476,439,114,33,2,18,14.7675081209594
477,477,416,193,21,1,9,19.9181261835473
478,478,340,51,16,2,28,19.1514788134755
479,479,360,180,33,6,31,0.628843218494439
480,480,1151,171,30,10,23,9.62304508565552
481,481,333,49,17,10,29,1.10285246876487
482,482,649,57,21,5,15,13.9807300260772
483,483,295,126,14,3,15,3.46832579698041
484,484,330,160,19,5,25,10.7507429015038
485,485,409,28,36,8,29,16.7387205934199
486,486,383,179,18,4,28,22.3920669576016
487,487,332,26,19,5,9,25.0371940435392
488,488,530,183,22,8,8,24.7332269072551
489,489,682,150,40,2,30,12.2398144348809
490,490,741,189,28,1,21,21.2298682977704
491,491,908,125,16,5,28,0.0191098691527732
492,492,829,191,40,3,11,23.4516384907793
493,493,498,148,20,10,19,9.10398549567582
494,494,444,103,22,6,25,22.5915432126632
495,495,1169,164,36,5,29,15.8178924826826
496,496,1007,43,26,7,22,4.54870054239477
497,497,1172,142,19,1,24,12.4066782364571
498,498,416,30,18,4,11,25.0511516204239
499,499,432,87,29,3,32,21.7180497715448
500,500,324,181,16,4,26,0.396624882885953
501,501,966,100,40,10,26,3.40158435827587
502,502,1119,163,13,2,28,6.80591541987308
503,503,761,121,33,3,32,12.9687557606618
504,504,1124,49,18,6,14,14.2810477626282
505,505,529,29,15,8,26,22.7707355904847
506,506,606,138,24,8,13,18.1317794106794
507,507,523,32,12,3,10,12.9979222320351
508,508,1026,59,35,1,17,12.8395530935535
509,509,831,136,36,10,17,5.79405860854476
510,510,370,160,20,9,22,16.0896388354062
511,511,437,183,10,5,22,1.83953248076164
512,512,419,120,18,6,18,9.72331496794848
513,513,545,78,21,9,18,3.51965880436636
514,514,1192,190,31,10,30,5.65586801683228
515,515,325,155,14,10,12,8.16674136697454
516,516,677,59,32,4,18,22.0012730056799
517,517,415,184,32,6,26,7.31784823617083
518,518,702,133,14,2,32,0.587871411342639
519,519,900,163,33,7,24,5.70537205486442
520,520,702,96,27,9,16,1.58310965085495
521,521,1092,94,27,7,19,24.8983186680304
522,522,440,152,22,5,15,10.9182055110028
523,523,794,139,37,7,11,24.6682857299217
524,524,536,102,36,9,24,7.16545414634352
525,525,836,131,11,7,14,6.73441487260419
526,526,638,34,15,5,24,25.3562147562897
527,527,740,151,12,2,32,1.73431476869737
528,528,864,166,22,5,16,11.4729469209164
529,529,879,169,38,2,25,6.70676232314808
530,530,840,70,13,7,21,8.30387604416092
531,531,880,112,37,8,26,19.7731200588357
532,532,672,187,25,8,12,24.6746133012516
533,533,751,49,35,2,28,16.8807834311214
534,534,594,68,38,3,10,15.7276203636087
535,535,1083,30,32,4,23,4.98817668073694
536,536,1063,115,35,3,26,6.16092065318418
537,537,965,178,24,4,31,22.9922864765276
538,538,997,147,26,7,17,0.510469624488382
539,539,763,130,12,3,32,3.90873932221997
540,540,1082,39,10,9,20,10.0999625292318
541,541,295,48,36,8,26,23.6836083015108
542,542,270,102,33,1,10,2.45056822113972
543,543,482,75,18,3,30,26.059151869342
544,544,927,188,40,4,29,25.8810217239005
545,545,674,166,26,10,25,5.86645783351618
546,546,870,143,35,8,18,12.0913015125433
547,547,1034,107,31,8,32,4.86278974444
548,548,850,174,28,7,31,25.7058077369498
549,549,381,90,23,3,28,21.1431596272353
550,550,769,158,21,8,11,2.26203215690423
551,551,995,107,38,3,27,25.9392535439655
552,552,572,92,18,9,26,6.14022244442021
553,553,850,121,13,5,14,14.7451200405143
554,554,598,27,24,6,26,20.0402284651194
555,555,643,163,29,6,24,16.4853532479585
556,556,981,68,33,9,22,3.1752957296141
557,557,1040,33,32,3,28,3.60871944410074
558,558,527,154,28,3,14,1.29842718989542
559,559,764,89,11,7,30,1.26680876805051
560,560,609,174,16,3,18,6.74116644350207
561,561,948,55,25,5,8,6.72079090185207
562,562,892,112,27,7,15,19.3171130089008
563,563,332,55,37,9,19,17.9239101458057
564,564,305,33,37,2,18,13.2427659164395
565,565,867,127,27,6,22,25.3998436282235
566,566,1174,129,12,2,15,2.17167524655443
567,567,740,147,23,3,29,8.37652322638966
568,568,488,89,32,10,12,16.4220864870092
569,569,359,74,13,9,10,17.724684710779
570,570,470,167,32,5,10,13.3560689205769
571,571,601,79,24,10,9,0.116531947938958
572,572,1004,34,39,4,28,19.0286922231801
573,573,382,196,40,1,32,1.33811478835018
574,574,451,166,28,10,18,20.2443084181764
575,575,510,164,21,4,29,11.1242573255005
576,576,581,41,39,5,23,7.14239387462148
577,577,1194,184,11,7,17,5.45873514880706
578,578,821,169,20,9,32,1.34547342850524
579,579,384,121,35,8,31,18.3264889313295
580,580,1053,51,16,10,22,18.2916571527284
581,581,376,198,32,8,28,4.4476163849791
582,582,301,29,25,9,14,15.4979426011806
583,583,952,194,36,9,29,7.1475357439494704
584,584,928,195,16,9,11,7.12807773484732
585,585,1034,57,23,4,29,9.98948430298502
586,586,524,73,38,8,30,0.15850939825573
587,587,790,123,27,8,11,26.0280493582662
588,588,690,198,10,2,19,25.7209666500569
589,589,777,180,40,7,14,11.2584283800845
590,590,794,71,12,1,16,23.8752579818515
591,591,1144,149,35,3,17,25.0772266313692
592,592,623,145,27,6,29,6.54442016767338
593,593,434,71,14,9,11,19.2321449441414
594,594,1168,39,38,3,28,19.0356301029013
595,595,643,94,27,8,29,22.9495965092569
596,596,1082,169,12,3,13,3.51545061389846
597,597,915,140,33,7,31,14.4671560063986
598,598,664,61,39,6,17,19.8267936953667
599,599,562,153,15,2,24,17.0134643174382
600,600,710,176,29,6,12,23.37959077047
601,601,341,88,18,8,21,8.31324830899224
602,602,946,164,20,1,16,11.6836026616914
603,603,1054,51,19,10,30,18.7184797834023
604,604,1023,101,23,3,12,4.69434928663145
605,605,489,84,27,7,18,24.0097935161432
606,606,365,107,38,2,11,18.7046362363773
607,607,916,47,21,2,29,7.25497842647741
608,608,1085,124,40,1,15,19.6336634469354
609,609,560,70,34,8,30,9.53207962530153
610,610,869,52,33,8,13,7.23966121534468
611,611,489,68,35,2,15,14.5935554960133
612,612,854,106,34,6,10,8.68517618660047
613,613,606,96,35,8,20,1.27192709967075
614,614,1168,63,11,1,15,0.323622555825394
615,615,760,41,12,3,11,21.1403739163866
616,616,579,122,39,9,23,3.65748022116907
617,617,1044,143,37,3,26,22.3445355522325
618,618,1192,73,29,6,26,7.92278902440518
619,619,1146,122,35,2,30,12.3877795857093
620,620,1035,156,17,4,28,22.9961113941402
621,621,618,146,35,9,21,5.3307747297273
622,622,781,113,31,1,21,26.1710869408783
623,623,644,119,35,10,28,9.37999454269698
624,624,809,111,16,2,20,7.65252936636307
625,625,486,193,13,6,27,24.1035681139976
626,626,653,155,17,2,20,0.907367160074878
627,627,588,52,33,5,28,23.9166662391857
628,628,1105,116,21,3,11,24.3395288032331
