"","SimNumber","Targets","Span","Samples","Errors","OffsetVaria"
"131",131,1073,76,8,12,25.9328179706503
"132",132,901,96,10,22,9.07110477401991
"133",133,1069,57,10,29,1.55613129785401
"134",134,589,72,8,29,3.20571161829936
"135",135,444,28,8,29,6.73045899525774
"136",136,355,62,25,20,22.1697118346668
"137",137,707,48,21,17,0.542627050586045
"138",138,237,64,12,28,4.46800965857459
"139",139,438,85,18,22,17.5501317848235
"140",140,871,39,13,23,14.3946791100765
"141",141,802,69,18,30,14.8469193678889
"142",142,906,54,16,27,18.4879277755974
"143",143,968,70,20,10,5.95503792765597
"144",144,325,85,21,28,0.577954305647407
"145",145,1048,30,22,25,22.2385437734968
"146",146,610,65,24,17,7.12197130074445
"147",147,537,97,4,13,5.91485929498193
"148",148,1055,86,8,9,23.2344522608055
"149",149,677,71,8,15,6.14181512356922
"150",150,798,52,10,24,4.91010215349542
"151",151,1002,44,3,12,16.0673324366682
"152",152,1004,41,24,28,2.60944416996604
"153",153,464,57,23,20,24.0742109285786
"154",154,222,49,22,22,1.25042570904712
"155",155,353,81,8,13,1.22137527888152
"156",156,1180,44,7,15,21.3179370406079
"157",157,574,88,6,16,15.7607998938423
"158",158,551,51,4,30,25.8976735878452
"159",159,482,99,8,17,25.5417243340423
"160",160,1053,97,5,14,0.130840720996726
"161",161,948,98,23,30,17.307947207398
"162",162,523,100,5,14,8.66216140466067
"163",163,576,67,6,32,11.1020357056989
"164",164,300,71,24,24,20.6237112362781
"165",165,739,53,14,25,14.7317204029348
"166",166,234,41,15,31,16.9940508664816
"167",167,663,87,20,25,21.6777874149666
"168",168,551,78,19,32,3.6129958106291
"169",169,266,38,17,13,15.9198053401648
"170",170,833,78,10,21,0.222211276715156
"171",171,366,36,10,13,0.667672637677519
"172",172,583,90,4,25,5.17151719856518
"173",173,835,84,5,11,25.6423511072146
"174",174,885,100,20,8,6.73707529374608
"175",175,1096,57,23,19,3.29351621437888
"176",176,376,53,22,26,10.4709290750294
"177",177,789,99,18,9,19.5018604338255
"178",178,793,59,19,21,26.1508050256281
"179",179,216,49,22,28,14.9985106090247
"180",180,1196,62,16,8,25.7626478275752
"181",181,765,49,16,14,24.2494308385174
"182",182,950,28,15,32,7.15420407218603
"183",183,352,87,8,32,25.7380989547099
"184",184,999,51,3,11,10.9764611957739
"185",185,1128,83,12,14,25.2789459158382
"186",186,355,48,18,24,19.1676657166879
"187",187,326,91,9,25,25.245854909597
"188",188,599,88,11,32,11.6421544303575
"189",189,868,51,17,23,2.62920966235548
"190",190,818,74,6,11,2.5818457418133
"191",191,363,28,19,8,12.206434090673
"192",192,980,41,10,24,15.5945095917545
"193",193,944,48,5,31,4.06881274498696
"194",194,1172,50,2,23,22.7269725813807
"195",195,1041,26,9,28,20.1052168412639
"196",196,1034,92,11,22,18.3727208763072
"197",197,203,58,18,19,9.77217969962698
"198",198,832,40,24,18,2.84171892820555
"199",199,1094,25,11,9,8.49409993788064
"200",200,722,47,10,20,20.3269904439973
"201",201,673,88,2,19,20.528202794726
"202",202,1015,70,2,10,11.4740404834354
"203",203,305,73,2,18,21.9582481057742
"204",204,658,53,14,24,25.1954360105314
"205",205,831,96,5,16,15.7957991325911
"206",206,964,45,24,26,25.719891670913
"207",207,790,100,8,15,14.5967565440598
"208",208,362,63,22,22,4.48819301777147
"209",209,778,46,13,28,3.2751097639387
"210",210,304,80,20,13,11.8533343062173
"211",211,1006,87,6,14,20.8291940120377
"212",212,1007,55,7,21,7.59248155198991
"213",213,454,67,20,19,1.12484440002544
"214",214,843,81,19,29,6.7125815170093
"215",215,291,53,23,17,6.2221365425
"216",216,385,34,22,12,2.27280652257404
"217",217,1012,44,7,19,6.44597036408237
"218",218,332,48,11,32,10.504501669558
"219",219,655,26,4,22,22.8087538811325
"220",220,1117,53,16,20,19.8141775272023
"221",221,539,93,24,19,14.0166978091085
"222",222,920,75,15,21,20.8454060324214
"223",223,701,28,18,14,9.72316069261893
"224",224,1094,71,16,29,14.5381717817741
"225",225,453,95,18,10,2.19366577110533
"226",226,1015,54,11,24,3.06473545764317
"227",227,213,40,24,27,6.37366159424419
"228",228,1027,64,18,10,9.85211716085696
"229",229,230,42,11,23,15.2652934669075
"230",230,291,86,24,19,13.177393724499
"231",231,370,41,22,9,21.6925924974049
"232",232,707,66,11,8,1.08660055458872
"233",233,1105,55,10,32,11.025836822191
"234",234,683,63,3,22,3.08314018054516
"235",235,436,46,21,28,13.2162487050774
"236",236,862,49,12,31,15.8269546359007
"237",237,919,38,21,24,10.429035984104
"238",238,821,69,23,16,4.4786129856247
"239",239,249,97,8,31,18.9197485382527
"240",240,1049,39,17,11,18.4517637503983
"241",241,276,95,15,8,13.6129312300277
"242",242,536,31,13,15,6.42604695619363
"243",243,225,83,10,22,16.0877247416084
"244",244,345,79,15,10,23.4103226382285
"245",245,635,36,14,8,15.0758585954041
"246",246,762,73,5,32,14.1246037063212
"247",247,1125,57,24,9,0.107911236254731
"248",248,1137,81,10,21,8.4675722502335
"249",249,1196,53,12,10,9.76723585553304
"250",250,243,33,10,13,15.5615922647985
"251",251,1162,97,2,11,21.6126302213229
"252",252,818,81,25,10,11.7249362400179
"253",253,622,71,7,16,8.24897433158429
"254",254,568,70,16,12,17.3122732838376
"255",255,1030,42,10,9,23.447821643238
"256",256,868,32,2,13,18.8738645996721
"257",257,297,40,25,15,22.2116637112487
"258",258,813,58,5,32,10.1633893712729
"259",259,264,29,22,27,16.4865537142421
"260",260,252,73,15,24,19.5062348011271
"261",261,594,60,4,14,20.9782938778126
"262",262,203,45,22,16,22.2830042576329
"263",263,1149,56,25,14,14.7274049014968
"264",264,975,87,4,32,23.0874682529487
"265",265,1041,94,4,20,20.5670489648597
"266",266,698,92,17,12,5.3048449738943
"267",267,1009,61,7,31,0.579826549832709
"268",268,641,43,10,21,9.24756435918924
"269",269,767,67,12,20,7.35281240589451
"270",270,661,36,24,25,17.7462978361044
"271",271,1110,51,24,22,21.2632319403859
"272",272,229,38,14,17,17.5566407044742
"273",273,357,68,6,26,14.2615353669221
"274",274,362,40,19,13,0.174815008020494
"275",275,627,59,18,27,7.51123964518704
"276",276,985,92,6,14,1.79677535544406
"277",277,1193,54,22,11,10.6965984059316
"278",278,556,66,7,12,11.8165569741142
"279",279,1134,26,7,17,19.4599640358984
"280",280,358,54,3,27,18.4768037006713
"281",281,760,47,24,28,8.61436615485279
"282",282,593,46,4,16,20.1179715641604
"283",283,1062,92,19,12,19.1853003462562
"284",284,600,37,11,25,17.8183370174393
"285",285,364,42,13,9,1.1468942161547
"286",286,740,58,6,31,7.13590406277706
"287",287,467,79,11,11,17.8967858713563
"288",288,717,99,4,11,4.5100813646086
"289",289,856,45,9,25,2.89396262585418
"290",290,1057,26,5,19,1.78931919575855
"291",291,1170,28,8,24,23.7654866148711
"292",292,1075,99,16,15,12.8138588381936
"293",293,1092,85,5,14,20.7461441316397
"294",294,1089,59,24,15,14.8248247961812
"295",295,406,34,11,10,23.828047047155
"296",296,545,35,18,13,8.45102603758825
"297",297,856,53,25,27,12.3453049067149
"298",298,373,37,16,28,22.8830277194844
"299",299,594,56,11,20,13.0844963581946
"300",300,887,76,18,22,17.1915732203298
"301",301,617,39,10,23,10.7160102033874
"302",302,597,81,18,29,22.4186745994177
"303",303,285,30,7,25,7.42709093944845
"304",304,772,79,3,15,7.29176543896412
"305",305,508,53,25,21,18.5986706545241
"306",306,1161,46,4,26,18.8649625954134
"307",307,803,98,24,11,5.31012330022943
"308",308,1016,65,17,30,22.2314666418585
"309",309,323,99,7,21,5.11398453788203
"310",310,683,59,14,14,3.7168562638103
"311",311,707,72,16,32,25.1059752729537
"312",312,767,49,2,13,2.90556495738681
"313",313,540,85,23,24,2.10431696566241
"314",314,691,30,15,8,1.80799442029116
"315",315,590,47,5,14,17.9107100142073
"316",316,694,50,12,19,3.55899520047824
"317",317,801,27,18,28,24.3668996282301
"318",318,575,100,21,8,7.04317341624689
"319",319,1044,87,18,11,16.7410673738348
"320",320,774,28,12,24,8.87023398843897
"321",321,1023,30,20,21,5.89477760757692
"322",322,1074,47,16,22,20.0939070930018
"323",323,960,66,5,20,0.972736063522985
"324",324,659,67,2,9,1.16356394161028
"325",325,740,39,13,24,12.6219366695534
"326",326,892,43,16,15,12.0867616841025
"327",327,853,26,14,22,3.13738277560705
"328",328,1079,88,22,11,23.2653215789057
"329",329,336,54,16,10,6.20906721639098
"330",330,1079,68,17,11,9.2762936585159
"331",331,964,76,12,32,2.291538607792
"332",332,1085,43,10,29,17.5281529149856
"333",333,866,43,2,25,24.8115034824268
"334",334,601,96,25,20,24.8355677438129
"335",335,513,64,25,14,18.4640173514865
"336",336,285,36,11,9,12.435427007607
"337",337,1107,36,3,25,1.8210480875005
"338",338,331,73,15,18,9.95367173308972
"339",339,520,91,22,14,20.6602611256398
"340",340,286,26,14,26,11.1589672262827
"341",341,931,69,13,10,16.6000093155291
"342",342,1147,80,24,14,21.3880203834188
"343",343,395,37,20,9,7.35259661786607
"344",344,201,62,19,25,0.768053859806387
"345",345,749,42,8,8,4.9775323493341
"346",346,245,99,11,31,26.0919222074777
"347",347,567,86,2,27,23.4206735040825
"348",348,1154,39,7,21,9.20102590574929
"349",349,459,29,16,20,18.1663592525155
"350",350,728,63,8,25,22.6235953267992
"351",351,458,35,12,9,24.0387813538986
"352",352,429,29,25,18,0.167623488675337
"353",353,225,67,24,19,7.13925066208537
"354",354,820,49,6,20,20.963667799179
"355",355,220,63,2,30,22.1193004380527
"356",356,534,51,23,9,0.0760851087921765
"357",357,862,53,20,12,13.0859114402486
"358",358,762,52,2,31,14.2774344314244
"359",359,679,51,25,28,19.5700033563906
"360",360,758,77,16,16,20.0238597385131
"361",361,509,78,6,24,4.11177122721937
"362",362,206,91,20,21,23.0389065684862
"363",363,1150,85,17,18,24.9965294482044
"364",364,327,68,16,29,23.9674914367227
"365",365,372,96,22,11,8.63731505589001
"366",366,405,61,17,21,17.9152767675647
"367",367,741,67,11,21,21.9124035674038
"368",368,1191,39,22,24,25.9900279457101
"369",369,1191,65,4,8,14.2066611222026
"370",370,631,25,6,28,13.1311108109751
"371",371,667,78,13,14,10.6556228660634
"372",372,220,49,11,26,0.1240268846869
"373",373,381,69,23,13,2.34490924646519
"374",374,362,66,16,23,0.308422046066727
"375",375,516,86,23,26,1.18774400358275
"376",376,979,35,20,15,7.75440059634484
"377",377,537,80,8,22,9.35123108130274
"378",378,826,61,12,9,10.7822848797841
"379",379,843,91,25,27,6.36113151917909
"380",380,1039,47,3,10,22.3556675738343
"381",381,692,51,18,14,6.94732791348593
"382",382,317,75,11,14,16.8695042849642
"383",383,811,44,7,19,7.16314605044434
"384",384,738,50,10,10,21.8879145043783
"385",385,813,50,7,18,25.1804486604752
"386",386,767,37,5,21,2.4438621338543
"387",387,439,62,13,15,25.5919642169636
"388",388,352,91,2,16,23.3846168638908
"389",389,666,55,21,10,25.0618133876228
"390",390,435,66,16,16,13.9142730758928
"391",391,571,46,3,24,13.8140754046959
"392",392,219,55,4,26,20.9971007530943
"393",393,1052,57,14,29,2.90391305452702
"394",394,1175,29,21,25,18.0528758316939
"395",395,975,89,10,31,13.8107019853573
"396",396,892,41,22,15,12.1689800695239
"397",397,1103,97,8,32,3.7640422170707
"398",398,921,39,5,10,0.746656368264928
"399",399,847,90,8,18,19.3763591406706
"400",400,926,61,22,14,15.5014378921683
"401",401,1157,35,2,12,26.2432394240389
"402",402,288,47,7,12,1.08814178394875
"403",403,1041,75,8,15,23.7697909860273
"404",404,637,100,3,18,25.2955975638407
"405",405,929,80,7,15,10.7278022432916
"406",406,442,73,10,8,11.7038973422148
"407",407,294,36,15,26,22.000811697457
"408",408,206,72,6,10,26.1119451462449
"409",409,389,80,23,25,18.9758267783695
"410",410,721,54,6,20,23.8493117465382
"411",411,1152,60,17,9,0.289245563990669
"412",412,648,39,25,32,2.05337224716227
"413",413,896,32,11,13,9.63614736455539
"414",414,341,29,17,16,9.55138640694506
"415",415,324,33,14,20,0.0455156543019693
"416",416,615,76,10,25,19.5128764203894
"417",417,208,65,24,20,25.3809749317539
"418",418,605,87,20,10,12.2334700323932
"419",419,489,62,22,17,13.7066752442864
"420",420,663,93,5,16,12.2013499087808
"421",421,1145,80,16,20,8.3429264278172
"422",422,1099,41,16,27,20.1857581696357
"423",423,1173,89,18,24,2.72536786186718
"424",424,316,68,21,28,10.222728808614
"425",425,576,74,7,27,19.9140795981067
"426",426,1036,73,3,18,8.17888205493311
"427",427,489,47,24,25,21.5813919997832
"428",428,346,35,24,32,24.7907439769062
"429",429,226,41,23,24,5.66754524948471
"430",430,579,72,5,23,4.84489402215439
"431",431,335,59,24,17,22.6161015314604
"432",432,277,50,9,27,7.66369068207662
"433",433,606,100,21,22,4.42235725946887
"434",434,1085,67,19,23,24.3936123352167
"435",435,1027,100,2,10,15.2787665001806
"436",436,270,44,22,11,10.9163220871775
"437",437,294,94,10,30,8.90892538349098
"438",438,966,94,15,14,4.03031247118604
"439",439,510,45,3,14,7.78967283548485
"440",440,1197,52,22,14,8.12269379531313
"441",441,769,51,7,27,11.0989277040928
"442",442,1141,66,23,28,13.394789992267
"443",443,557,72,19,20,15.975156607535
"444",444,256,29,2,20,20.8654619054701
"445",445,789,49,7,18,13.6486613469934
"446",446,1081,28,7,23,20.0293552040583
"447",447,289,42,24,13,1.2134430343518
"448",448,287,65,24,28,7.43025821412355
"449",449,884,86,12,31,21.2584770457807
"450",450,979,47,19,20,11.1971482263482
"451",451,514,62,21,31,20.7646635075491
"452",452,467,38,6,26,5.13972818849445
"453",453,764,78,16,25,13.9922138423207
"454",454,945,77,17,9,23.2722944968031
"455",455,1196,43,4,19,17.6552268725256
"456",456,1200,82,14,14,7.32328198541445
"457",457,765,38,21,26,25.9625579661911
"458",458,968,42,12,26,24.6982647735586
"459",459,328,27,7,16,25.0783485008352
"460",460,490,72,9,30,13.3419919214456
"461",461,841,90,11,21,15.4069731983377
"462",462,1178,53,10,26,22.7459355397373
"463",463,480,93,17,8,21.6964953763478
"464",464,593,77,15,8,9.27647332248697
"465",465,218,78,12,19,23.9751729475944
"466",466,861,41,2,19,22.6096753547189
"467",467,1110,79,23,30,12.3807172430318
"468",468,359,31,16,17,19.5433864969243
"469",469,352,63,7,31,24.4378071980176
"470",470,912,63,3,17,18.7799157549129
"471",471,650,62,22,13,20.234536999478
"472",472,739,46,5,21,21.7712078551538
"473",473,763,99,12,26,16.5771062621214
"474",474,267,88,7,10,23.0274000906437
"475",475,408,92,20,15,14.7698266808041
"476",476,893,70,17,8,25.874742739582
"477",477,405,77,21,26,21.3267181542125
"478",478,533,48,5,25,13.0344691043748
"479",479,235,91,13,22,10.4612324895833
"480",480,693,62,2,12,2.1054278282423
"481",481,1168,85,8,32,2.67482129156007
"482",482,1026,35,24,17,18.9196225451911
"483",483,1168,32,10,21,0.625900980346836
"484",484,630,77,24,32,8.99081839943514
"485",485,346,91,7,24,11.046309309582
"486",486,224,79,17,32,25.3542315856437
"487",487,1015,84,10,32,18.8155045839343
"488",488,409,83,11,10,26.062655588248
"489",489,965,28,5,32,21.0361176101703
"490",490,1081,45,6,22,3.98268375605904
"491",491,407,34,10,31,1.62631666413415
"492",492,580,28,12,22,0.113065975742182
"493",493,1158,95,24,27,25.1296539724965
"494",494,309,62,3,23,14.6813004056485
"495",495,642,55,8,13,21.2251394396336
"496",496,1065,31,18,20,4.86587551016174
"497",497,429,98,13,12,14.00638591775
"498",498,996,65,6,21,3.41766195767955
"499",499,780,59,4,26,2.29800287058065
"500",500,700,88,23,27,11.152089779549
"501",501,394,70,15,28,0.833331154372543
"502",502,902,85,11,21,3.43728529835562
"503",503,685,69,2,14,12.0516708549811
"504",504,820,37,9,15,15.9804915045758
"505",505,1151,95,11,24,7.9842350588257
"506",506,484,71,4,18,18.3050499233436
"507",507,697,84,24,19,20.7493023552487
"508",508,361,39,7,15,24.6269424650418
"509",509,780,62,10,22,4.73648826793814
"510",510,1041,95,24,9,1.6063076073702
"511",511,240,45,3,28,24.3988688081938
"512",512,488,91,8,29,16.9471305654054
"513",513,826,94,23,17,7.0548140374294
"514",514,1072,81,16,12,25.3366085120719
"515",515,1005,41,16,19,1.00332587828464
"516",516,570,86,10,8,2.00522531376872
"517",517,1164,69,10,12,25.095081855224
"518",518,453,50,25,22,24.6996176580682
"519",519,501,52,3,9,13.9159858991527
"520",520,582,29,4,27,9.16989692015084
"521",521,378,42,2,15,12.3093341436803
"522",522,205,81,25,29,12.7994041868758
"523",523,259,79,3,27,10.4844425882241
"524",524,1187,89,15,24,0.617254577701911
"525",525,920,73,10,9,26.2827358703937
"526",526,364,80,3,13,20.6265234339889
"527",527,1196,68,6,27,24.4581744659937
"528",528,320,56,15,24,8.2887555317597
"529",529,867,25,23,17,9.13886340571614
"530",530,769,33,14,30,22.6917344117616
"531",531,1166,66,23,32,9.22187302213488
"532",532,626,79,5,15,0.60741895011114
"533",533,795,52,11,29,1.64752961140918
"534",534,692,72,15,30,1.88714711028268
"535",535,257,34,8,29,7.58804082871275
"536",536,830,25,2,19,1.30233320308616
"537",537,202,27,10,21,1.98905822788714
"538",538,410,60,25,19,9.52317291967105
"539",539,374,42,19,17,19.3592320124623
"540",540,260,77,5,9,1.8064464535322
"541",541,652,59,17,16,15.2067736538877
"542",542,442,86,23,20,26.469185870575
"543",543,248,70,6,11,12.3799899803055
"544",544,700,79,14,9,10.9012850333799
"545",545,284,72,24,23,11.9427943897983
"546",546,329,93,10,23,8.79098336554179
"547",547,843,85,6,16,13.4557884462234
"548",548,707,75,12,25,25.6538001505823
"549",549,1022,69,20,17,26.1309074197561
"550",550,1049,100,5,12,6.4482180640127
"551",551,656,70,9,8,19.434101641715
"552",552,1155,44,18,19,26.2723158845031
"553",553,619,27,24,14,24.1306326588143
"554",554,457,94,25,29,16.2123902456204
"555",555,1135,27,12,18,26.187435282534
"556",556,617,92,24,28,1.75805520922085
"557",557,557,96,13,15,17.4728415537474
"558",558,922,61,20,10,9.35628566676401
"559",559,994,62,12,24,5.72871578475344
"560",560,700,36,11,26,13.0855170124324
"561",561,1015,49,7,23,17.1798534840683
"562",562,930,97,16,10,26.2753660382591
"563",563,1140,61,23,30,23.7179501873017
"564",564,573,59,13,18,15.2778043231103
"565",565,638,42,23,13,15.1170244359428
"566",566,574,39,13,14,25.513660618159
"567",567,1197,48,18,20,11.1347705367552
"568",568,1087,75,6,28,22.2860621051036
"569",569,1112,85,24,24,15.5155165448005
"570",570,1036,77,8,22,14.9071631838086
"571",571,587,67,4,31,25.92445844423
"572",572,427,62,25,20,22.8554890888319
"573",573,1199,60,9,28,22.9153125515231
"574",574,659,34,9,14,0.969948236440076
"575",575,996,28,23,29,2.49911620869231
"576",576,813,68,24,15,1.92650760555221
"577",577,727,96,11,31,7.34230972645292
"578",578,472,54,21,32,17.2008798818986
"579",579,1070,36,2,12,7.24739799509873
"580",580,1046,28,21,27,1.46172287240997
"581",581,543,94,11,8,0.794845527627505
"582",582,424,52,6,29,14.8379290185615
"583",583,1188,82,12,12,15.76260947158
"584",584,621,54,8,14,3.3433704799288
"585",585,268,39,13,22,20.6337214686209
"586",586,860,74,9,21,22.1190646352605
"587",587,650,43,16,31,4.62142028739699
"588",588,463,76,15,26,18.195215933104
"589",589,291,85,3,8,20.3660267358779
"590",590,481,85,17,30,22.6157701341088
"591",591,713,27,10,28,6.44553265526495
"592",592,1163,71,7,28,4.27738440837665
"593",593,1191,63,12,21,15.7850482429313
"594",594,1173,94,7,8,22.3921526311559
"595",595,496,33,25,22,5.19021482556616
"596",596,1005,62,18,18,14.0189692380098
"597",597,791,61,24,24,1.32127550502191
"598",598,995,28,22,17,13.2665078068611
"599",599,1132,43,18,19,8.20672639197647
"600",600,949,41,7,22,19.1570752166088
"601",601,697,26,15,8,9.8541034102228
"602",602,406,36,25,16,8.25066929950309
"603",603,697,75,20,21,8.96451130607445
"604",604,685,26,10,27,23.1334512411649
"605",605,881,83,17,15,20.8618774920215
"606",606,1108,61,25,23,12.3857428675494
"607",607,788,47,18,28,22.5061972859448
"608",608,417,60,2,15,18.180737787267
"609",609,373,86,24,24,9.09777408277942
"610",610,679,80,12,16,15.7196022357522
"611",611,844,61,6,25,0.301498807231663
"612",612,355,90,10,21,26.1718743281032
"613",613,1187,67,3,20,7.1451534256062
"614",614,981,53,23,12,21.2596750503224
"615",615,609,74,5,27,23.1677014378668
"616",616,1000,82,10,8,24.9976569136602
"617",617,439,65,24,12,5.53409621948446
"618",618,802,93,18,25,23.3824111307987
"619",619,1138,71,25,27,10.3651225315754
"620",620,1149,75,21,13,17.5714266729364
"621",621,837,80,8,29,15.7745437125559
"622",622,514,42,14,12,25.7432384610125
"623",623,864,66,5,14,24.7768313036747
"624",624,330,45,18,15,10.0527218870483
"625",625,410,81,2,15,12.8224669758677
"626",626,717,86,25,29,13.0649895337992
"627",627,362,75,7,24,24.6665361409474
"628",628,894,100,22,25,0.400641711481381
"629",629,1167,79,11,31,12.5499361912436
"630",630,944,67,15,10,15.3055902446839
"631",631,823,66,24,10,20.2382694506093
"632",632,553,81,23,8,8.15154092508345
"633",633,698,28,10,11,18.1422722986813
"634",634,957,42,21,22,4.63893415587652
"635",635,518,76,16,29,22.621104043985
"636",636,1075,89,16,13,21.0852119255036
"637",637,878,42,21,28,19.1551746716462
"638",638,463,73,22,27,14.5363801519242
"639",639,811,91,17,17,10.6918327142128
"640",640,275,68,22,23,0.773756821196759
"641",641,1012,45,7,28,17.2859319296929
"642",642,692,63,6,26,15.305765157925
"643",643,1170,30,3,12,11.5075478263788
"644",644,327,86,11,28,21.2220200732942
"645",645,417,93,12,19,19.5307879681587
"646",646,557,53,16,13,17.6919501820419
"647",647,456,52,3,10,4.4863243582279
"648",648,846,74,20,18,8.18858579732315
"649",649,900,81,8,12,22.9402354981028
"650",650,1134,52,22,29,14.7850892770512
"651",651,1166,56,17,25,0.64834490963351
"652",652,895,93,4,11,24.9135382917651
"653",653,406,52,12,29,2.29233282496245
"654",654,433,42,8,32,22.5533504406589
"655",655,506,53,7,22,11.6007787186087
"656",656,822,98,25,24,5.90233226778777
"657",657,1128,56,15,13,17.8605238207048
"658",658,846,81,19,14,22.8373145727324
