sim_number,oxcal_target,a_pass,targets,span,samples,errors,offset,offset_sd,model_run,accuracy_68,accuracy_95,precision_68,precision_95,off_target_68,off_target_95
24,T6920,Pass,6920,32,11,27,-39.05711127,3.412173051,1,0,0,15.5,37,47.5,35.5
25,T6863,Pass,6863,43,13,31,5.798534281,17.03269229,1,1,1,21.5,58.5,0,0
26,T6939,Pass,6939,46,11,11,22.53715403,1.370791364,1,0,0,18.5,30,5.5,0.5
27,T6994,Pass,6994,58,24,18,-20.63224392,22.49907441,1,0,1,14,26.5,3.5,0
28,T6840,Pass,6840,67,24,29,0.486261817,11.12756207,1,1,1,9.5,20,0,0
29,T6963,Pass,6963,36,5,8,41.02446169,15.82865342,1,0,0,30.5,102,18,10.5
30,T6958,Pass,6958,73,11,14,27.89912079,16.51527652,1,0,0,12,24.5,8.5,2
31,T6815,Pass,6815,82,16,28,24.03747342,4.852988483,1,0,0,17.5,39.5,35,25.5
32,T6812,Pass,6812,91,7,23,31.31981662,21.6594877,1,0,0,19,44.5,32,16
33,T6894,Pass,6894,98,11,27,-13.38001424,22.90230163,1,1,1,27.5,47.5,0,0
34,T6883,Pass,6883,73,25,14,-5.577901867,11.73218861,1,1,1,11.5,22.5,0,0
35,T6833,Pass,6833,58,16,13,-15.39467061,11.35376143,1,0,1,10,20,3.5,0
36,T6801,Fail,6801,56,23,26,-29.96300207,13.97177401,1,0,0,10,17,47,43.5
37,T6997,Pass,6997,28,23,23,-49.24824433,4.854514596,1,0,0,12,37.5,49,26
38,T6989,Pass,6989,74,17,13,-40.69376804,22.40958534,1,0,0,13.5,25.5,34.5,29
39,T6932,Pass,6932,66,10,29,4.388485523,7.444225367,1,0,1,20,41,4.5,0
40,T6981,Pass,6981,91,23,15,7.730078744,4.107375334,1,1,1,15,25,0,0
41,T6839,Pass,6839,35,13,12,-8.287988347,22.07318272,1,0,1,15,55,37.5,0
42,T6907,Pass,6907,44,3,15,-12.53274751,15.90248451,1,0,1,27,70,31,0
43,T6904,Pass,6904,90,22,21,-33.80572503,4.385085697,1,0,0,10.5,20.5,42,36.5
44,T6913,Pass,6913,73,10,26,-28.87509721,3.793577111,1,0,0,34.5,58,18,9
45,T6916,Pass,6916,39,4,25,-0.886874367,16.07097501,1,1,1,35.5,75,0,0
46,T6990,Pass,6990,28,2,14,32.52282245,15.54954029,1,1,1,63.5,139,0,0
47,T6972,Pass,6972,79,18,23,30.18979111,0.789686932,1,0,0,17.5,52.5,10.5,2.5
48,T6950,Pass,6950,40,3,27,2.925615804,7.684593228,1,1,1,32,76,0,0
49,T6829,Pass,6829,43,24,8,-34.91787594,6.134756828,1,0,0,6.5,12.5,50.5,48.5
50,T6816,Pass,6816,55,25,15,-36.36142369,18.28712612,1,0,0,8.5,16,54,50.5
51,T6892,Pass,6892,72,8,28,20.33867531,24.83887201,1,0,1,34.5,56,7,0
52,T6913,Pass,6913,60,12,13,-4.699626216,14.20721861,1,1,1,15,29,0,0
53,T6820,Pass,6820,40,22,21,-13.72462637,9.837894179,1,1,1,13,39,0,0
54,T6874,Pass,6874,79,23,31,30.71113985,26.46200398,1,0,1,20,48.5,1.5,0
55,T6856,Pass,6856,64,13,26,35.92475015,15.91943353,1,0,1,14,42.5,39,0
56,T6874,Pass,6874,36,21,23,35.40052113,26.01945529,1,0,1,15.5,36.5,5,0
57,T6943,Pass,6943,78,24,27,28.5680996,3.056917299,1,0,0,15.5,32.5,15,7.5
58,T6970,Pass,6970,85,9,16,-17.54825115,4.686160398,1,0,0,18,37,15.5,2.5
59,T6998,Fail,6998,73,24,31,42.73983403,8.498582276,1,0,0,20.5,42,38,24.5
60,T6996,Pass,6996,92,19,8,-32.88410788,3.287329937,1,0,0,19.5,35,21,16.5
61,T6836,Pass,6836,74,11,13,2.827867563,17.19565788,1,1,1,11.5,22.5,0,0
62,T6832,Pass,6832,41,21,9,-21.57145552,24.14335658,1,0,0,5.5,12,50,48
63,T6827,Fail,6827,27,23,11,-41.04777798,25.31232849,1,0,0,7,21.5,54,52
64,T6860,Pass,6860,55,2,20,-5.056696222,15.18144129,1,1,1,54.5,102,0,0
65,T6858,Pass,6858,78,19,17,-16.72496572,7.970983891,1,1,1,15,35,0,0
66,T6864,Pass,6864,87,23,8,38.42588151,0.48799476,1,0,0,18,30.5,36.5,30
67,T6973,Pass,6973,90,12,12,20.13772347,16.76885256,1,0,0,26.5,54.5,18,12.5
68,T6825,Pass,6825,28,6,28,32.18849248,22.70963806,1,0,0,33,74,13.5,8
69,T6827,Fail,6827,37,20,12,26.20495569,19.64898717,1,0,0,9.5,18.5,39,33.5
70,T6850,Pass,6850,78,23,26,-23.06912534,0.591787605,1,0,0,30.5,50,23,9
71,T6833,Pass,6833,72,17,22,25.688143,8.196152378,1,0,0,17,35,6.5,1.5
72,T6867,Pass,6867,37,3,20,36.18807772,5.728707017,1,0,1,44,76.5,13.5,0
73,T6837,Pass,6837,83,24,10,-35.98274991,10.07476753,1,0,0,6,13.5,52,47
74,T6973,Fail,6973,66,16,18,44.71317194,17.35774337,1,0,0,34.5,55,45.5,41.5
75,T6820,Pass,6820,54,3,31,-38.80985288,22.1908418,1,0,0,33.5,89.5,83,73
76,T6890,Pass,6890,77,25,31,20.35026806,12.65398145,1,0,1,19.5,40,5.5,0
77,T6908,Pass,6908,84,6,9,-33.45360793,12.01147722,1,0,0,14.5,35,42,29
78,T6960,Fail,6960,58,21,10,42.85617203,25.9913185,1,0,0,14,28.5,147.5,139
79,T6846,Pass,6846,49,3,12,5.28473244,17.36188816,1,1,1,31.5,67.5,0,0
80,T6853,Pass,6853,32,22,32,13.80857532,23.13346908,1,1,1,13.5,31,0,0
81,T6908,Pass,6908,52,10,18,20.79671135,15.17553873,1,0,0,14,30,27.5,19
82,T6931,Pass,6931,65,8,30,13.31556039,22.43544605,1,0,1,18,41,4,0
83,T6962,Pass,6962,44,14,8,38.77039,0.991415699,1,0,0,10.5,20.5,22,16.5
84,T6816,Pass,6816,90,6,9,-9.224856994,8.204762983,1,1,1,27,55,0,0
85,T6967,Pass,6967,53,6,18,8.971408778,10.95884411,1,1,1,19.5,35.5,0,0
86,T6934,Pass,6934,83,8,9,-16.89648812,25.61469218,1,1,1,16.5,34,0,0
87,T6956,Pass,6956,87,2,21,48.89224852,15.04051965,1,0,1,65.5,139.5,27,0
88,T6985,Pass,6985,29,8,21,15.79085772,24.44482953,1,1,1,24.5,52,0,0
89,T6858,Pass,6858,64,21,24,-16.47479453,5.396075284,1,1,1,28,45.5,0,0
90,T6965,Pass,6965,29,25,20,15.81447059,22.42371868,1,0,0,9.5,18.5,9.5,4.5
91,T6955,Pass,6955,68,20,8,36.57457095,7.472465945,1,0,0,10,19.5,23,17.5
92,T6986,Fail,6986,68,13,20,47.89157428,12.42104205,1,0,0,14.5,51,53.5,2.5
93,T6955,Pass,6955,31,22,16,44.20950843,14.92968003,1,0,0,11,27,32.5,25
94,T6877,Pass,6877,64,2,23,32.33340541,11.11404627,1,1,1,51,111.5,0,0
95,T6876,Pass,6876,27,20,31,-1.289993455,8.017802304,1,1,1,14.5,43.5,0,0
96,T6961,Pass,6961,41,17,23,-18.6700868,1.205245082,1,0,0,11.5,23,15.5,9
97,T6828,Pass,6828,83,12,8,-29.96955605,12.98569216,1,0,0,15.5,43.5,45,11
98,T6914,Pass,6914,56,25,21,26.50211672,8.41257804,1,0,0,16.5,30,11,4.5
99,T6886,Fail,6886,94,3,30,-3.30407999,24.54920689,1,1,1,49.5,97.5,0,0
100,T6918,Pass,6918,47,18,19,-28.11366862,17.16542686,1,0,0,16,30,39,33
101,T6960,Fail,6960,25,22,13,-45.90200316,22.1038927,1,0,0,13,33,34,30.5
102,T6852,Pass,6852,76,18,21,38.22724654,0.482861861,1,0,0,15.5,29.5,44,36
103,T6909,Fail,6909,48,22,14,-30.20681068,26.33676493,1,0,0,10,18,42.5,38.5
104,T6904,Pass,6904,48,19,10,16.68814875,3.589268148,1,0,1,26,44,4,0
105,T6985,Fail,6985,47,21,10,48.21489099,12.23685185,1,0,0,10.5,21.5,66,60.5
106,T6860,Pass,6860,47,9,26,44.09936008,10.08536376,1,0,0,16,36,53,44.5
107,T6831,Pass,6831,80,13,14,-31.90355003,7.732514835,1,0,0,8,16.5,50.5,45.5
108,T6922,Pass,6922,42,12,31,-14.17245395,10.55225192,1,0,1,32,64,0.5,0
109,T6900,Pass,6900,88,24,8,-39.73205294,1.419200939,1,0,0,10.5,20.5,44.5,40
110,T6883,Pass,6883,51,11,8,47.91115613,6.303911475,1,0,0,10,19.5,50.5,46
111,T6960,Pass,6960,83,2,30,-46.15140744,4.565634668,1,0,0,56,126,43.5,20.5
112,T6995,Pass,6995,42,25,29,-38.64250856,3.478692914,1,0,0,15.5,30,13,7.5
113,T6808,Pass,6808,86,4,13,39.93115707,0.499356149,1,0,1,18,73,41.5,0
114,T6996,Pass,6996,96,21,18,2.36061886,6.968314547,1,1,1,11,22.5,0,0
115,T6921,Pass,6921,92,10,14,46.18155363,1.942324291,1,0,0,17,36,30.5,24.5
116,T6881,Pass,6881,43,5,11,-40.84153513,6.387937057,1,0,0,16.5,43,39.5,32
117,T6969,Pass,6969,56,24,18,37.74436242,16.51985705,1,0,0,17,44.5,67.5,20
118,T6807,Pass,6807,76,3,24,-26.70802402,20.58350608,1,0,1,36,82.5,6.5,0
119,T6997,Fail,6997,63,12,14,-25.65057932,26.30284901,1,0,0,14.5,25.5,33,27.5
120,T6889,Pass,6889,91,21,11,-19.94111822,8.322373067,1,0,1,15.5,34,4,0
121,T6848,Pass,6848,91,24,15,22.08465138,1.336256426,1,0,0,18,35,22.5,11
122,T6837,Pass,6837,75,7,8,-1.87085378,7.670806325,1,1,1,14.5,26.5,0,0
123,T6984,Pass,6984,61,12,15,-47.82033721,7.535319201,1,0,0,15,29,31.5,23.5
124,T6959,Pass,6959,94,16,21,-8.631001832,6.767272414,1,0,1,14.5,27.5,8,0
125,T6992,Pass,6992,61,21,15,5.749569647,18.81256009,1,1,1,10.5,21,0,0
126,T6832,Pass,6832,44,25,19,-31.49273177,16.62756298,1,0,0,13.5,32,7,3
127,T6958,Pass,6958,29,2,31,-32.59568175,24.32992665,1,0,0,60,129,73,59
128,T6845,Pass,6845,60,19,16,-12.69631013,18.84348511,1,1,1,31,53.5,0,0
129,T6858,Pass,6858,25,6,32,5.780178215,14.04941264,1,1,1,39.5,106,0,0
130,T6981,Pass,6981,88,2,8,-0.741399149,18.76696906,1,1,1,34,66.5,0,0
131,T6971,Pass,6971,61,2,28,-43.30482786,15.06156587,1,1,1,84,156.5,0,0
132,T6877,Pass,6877,81,18,19,-42.69323682,11.22965874,1,0,0,13,32,45,37.5
133,T6825,Pass,6825,63,2,20,-28.64937717,3.725478456,1,0,1,39.5,96.5,37.5,0
134,T6864,Pass,6864,62,3,31,48.50124423,9.488255208,1,0,0,40,106,48.5,27
135,T6851,Pass,6851,73,22,25,-2.993685915,16.13610797,1,1,1,10.5,25.5,0,0
136,T6950,Pass,6950,99,17,31,-13.66809562,1.519308093,1,1,1,20,40.5,0,0
137,T6876,Pass,6876,51,13,12,7.04417252,3.369953344,1,1,1,14,26.5,0,0
138,T6883,Pass,6883,96,11,12,-23.72568492,16.83874543,1,0,1,11,33.5,2.5,0
139,T6815,Pass,6815,61,21,31,-46.25636782,16.50599476,1,0,0,14,27,55,49
140,T6830,Pass,6830,88,2,27,15.83796337,14.48573362,1,1,1,59,105.5,0,0
141,T6935,Pass,6935,61,22,17,-4.038933152,0.714098135,1,0,1,9,19.5,2,0
142,T6932,Pass,6932,31,4,18,-13.8341472,8.305277331,1,0,1,26,58.5,1.5,0
143,T6862,Pass,6862,82,9,10,35.67491251,11.66829221,1,0,0,17,33,32,23.5
144,T6973,Pass,6973,54,13,26,-10.17313497,12.11349317,1,0,1,15,34,2.5,0
145,T6820,Pass,6820,52,20,24,-47.40305736,17.76246704,1,0,0,16,33.5,75,61
146,T6921,Fail,6921,92,23,31,27.59354375,20.39525559,1,0,0,11.5,21.5,9,5
147,T6869,Pass,6869,90,11,32,17.71420739,16.08733123,1,0,1,25,55.5,20.5,0
148,T6877,Pass,6877,25,9,14,-14.16501463,17.4015408,1,1,1,11.5,27,0,0
149,T6844,Pass,6844,67,13,28,32.11009151,25.02481277,1,0,0,21.5,43.5,39,31.5
150,T6861,Pass,6861,95,6,26,25.87229046,2.692500387,1,1,1,32.5,60,0,0
151,T6839,Pass,6839,65,13,15,40.94461622,10.31842794,1,0,0,10,21,34,28.5
152,T6916,Pass,6916,60,11,12,42.37533864,0.576661219,1,0,0,11,23,36.5,30
153,T6940,Pass,6940,40,10,24,22.5589616,7.563641993,1,1,1,21.5,41.5,0,0
154,T6905,Pass,6905,45,6,26,32.59408483,19.65084665,1,0,1,24,63.5,25,0
155,T6837,Pass,6837,91,14,15,-2.04158132,10.13300454,1,1,1,15.5,31,0,0
156,T6905,Pass,6905,35,22,24,-26.69687893,10.56243378,1,0,0,12.5,28,44.5,36
157,T6893,Pass,6893,53,8,23,-13.20924868,3.9361614,1,1,1,20,44.5,0,0
158,T6837,Pass,6837,85,21,16,-47.48152853,1.72600879,1,0,0,9.5,19.5,51,46
159,T6918,Pass,6918,97,25,12,16.14114314,18.76723066,1,0,0,10,18,12.5,8
160,T6882,Pass,6882,67,12,8,-22.19651442,6.763831566,1,0,0,27.5,41.5,7,3.5
161,T6915,Pass,6915,36,9,21,1.839221665,2.729250115,1,0,1,10.5,26,2.5,0
162,T6886,Pass,6886,41,7,25,20.25297554,23.16312987,1,0,1,16.5,41,1.5,0
163,T6938,Pass,6938,87,10,19,21.12277839,9.452034446,1,1,1,15,30.5,0,0
164,T6973,Pass,6973,28,14,29,-13.60297911,17.57267111,1,1,1,16,35,0,0
165,T6937,Pass,6937,59,18,25,34.49213945,4.105343027,1,0,0,15.5,31,25,14.5
166,T6839,Pass,6839,36,22,30,27.77701218,14.88586846,1,0,0,16,36,40,34
167,T6905,Pass,6905,92,14,16,22.80571554,12.30687961,1,1,1,10.5,21,0,0
168,T6910,Pass,6910,31,3,31,-38.06671917,20.40496025,1,0,0,22.5,88.5,94.5,51
169,T6905,Fail,6905,30,23,14,12.51608962,21.97045118,1,1,1,24,32.5,0,0
170,T6967,Pass,6967,48,4,27,32.44996862,21.37315832,1,1,1,34.5,104,0,0
171,T6805,Pass,6805,28,4,9,6.469984865,9.832243204,1,0,1,16.5,61.5,0.5,0
172,T6875,Pass,6875,41,11,13,48.97509201,0.854007343,1,0,0,12.5,26.5,52.5,45
173,T6978,Pass,6978,65,19,29,21.24391731,22.9921175,1,1,1,11,26,0,0
174,T6984,Pass,6984,72,3,10,42.22439607,14.48646443,1,0,0,42,72.5,17,9
175,T6892,Pass,6892,49,15,23,-39.38574558,26.04619737,1,0,0,22,42,44,38.5
176,T6853,Pass,6853,37,24,29,-33.34608681,0.902872291,1,0,0,17,42,25.5,22
177,T6860,Pass,6860,72,22,11,11.47871201,16.61388086,1,1,1,14,26,0,0
178,T6995,Fail,6995,73,16,12,48.52927125,5.287370012,1,0,0,16,29,37,28.5
179,T6856,Pass,6856,66,24,18,-14.98890815,4.832425688,1,1,1,12.5,28,0,0
180,T6928,Pass,6928,65,21,17,-40.64765372,1.920899887,1,0,0,9,18,46.5,42.5
181,T6901,Pass,6901,62,16,12,-24.9846736,21.94866189,1,0,0,18,44,11,8
182,T6926,Fail,6926,29,18,19,-8.667090139,25.42806701,1,1,1,17.5,49,0,0
183,T6907,Pass,6907,71,25,12,-19.16887527,9.831403528,1,0,0,20,40.5,32.5,17
184,T6831,Pass,6831,32,5,23,40.13339018,19.50791541,1,0,0,30.5,62.5,39,33.5
185,T6849,Pass,6849,85,15,25,-3.678928968,16.11274642,1,1,1,15.5,36,0,0
186,T6879,Pass,6879,89,16,32,-18.47745806,3.803511985,1,0,1,29.5,54,11,0
187,T6905,Pass,6905,52,8,8,-3.751391242,11.72482641,1,1,1,19,33,0,0
188,T6809,Pass,6809,63,23,20,-23.09491558,2.368390692,1,1,1,27.5,49.5,0,0
189,T6823,Pass,6823,73,24,20,25.03205393,13.50770573,1,0,0,19.5,39.5,12,6.5
190,T6946,Pass,6946,91,3,25,-33.41892532,16.15708877,1,0,0,36,76,30,15.5
191,T6920,Pass,6920,67,22,21,-34.8120753,15.98446558,1,0,0,9,18,51.5,47
192,T6865,Pass,6865,92,2,30,3.81139461,22.07651874,1,0,1,61.5,124.5,7.5,0
193,T6994,Fail,6994,46,17,8,47.47411767,9.267143765,1,0,0,15,30,65.5,57
194,T6945,Pass,6945,62,6,28,-23.22154311,3.801733028,1,0,1,30,55,8,0
195,T6820,Pass,6820,78,12,11,-23.74739884,2.694638437,1,0,0,25.5,58,44,1.5
196,T6854,Pass,6854,49,19,14,-12.43318338,14.60575026,1,1,1,19.5,45,0,0
197,T6956,Pass,6956,58,20,23,-23.38923335,18.69486395,1,0,0,12,24.5,7,1.5
198,T6877,Pass,6877,86,14,15,-34.36862375,13.7112919,1,0,0,14,26.5,36.5,30
199,T6889,Pass,6889,40,14,20,28.54897252,15.05984465,1,0,0,14,30.5,30,21
200,T6918,Pass,6918,65,23,22,6.558638276,5.772553775,1,0,1,11,22.5,3,0
201,T6869,Pass,6869,35,11,12,-34.22548936,20.47135716,1,0,0,9.5,19,32.5,28.5
202,T6852,Pass,6852,34,24,27,28.1945646,17.00091237,1,0,0,15.5,29.5,39,32.5
203,T6924,Pass,6924,36,10,8,44.9195599,13.97203847,1,0,0,10.5,23,42.5,35
204,T6839,Pass,6839,35,18,10,-9.596498334,22.8355374,1,0,0,5.5,12,52,49
205,T6846,Pass,6846,87,23,29,-32.97138405,16.71788737,1,0,0,16,31.5,30,23.5
206,T6849,Pass,6849,42,5,20,-46.96029003,8.444494925,1,0,0,33.5,75,26,6
207,T6835,Pass,6835,75,11,30,39.18006762,21.87283115,1,0,0,26.5,52,10.5,4.5
208,T6984,Pass,6984,95,2,24,21.12771703,4.906736416,1,1,1,76.5,147.5,0,0
209,T6820,Pass,6820,70,22,23,-33.67277689,1.579317982,1,0,0,16,27.5,43.5,38.5
210,T6838,Pass,6838,50,6,8,-1.209140453,7.087427676,1,1,1,12,31,0,0
211,T6870,Pass,6870,47,15,32,-49.17683045,4.914350262,1,0,0,18,39.5,44,34.5
212,T6806,Pass,6806,99,14,20,-18.70182646,18.02850555,1,0,0,12,28,13,4
213,T6948,Pass,6948,39,21,23,-16.68668294,2.24277772,1,1,1,16.5,49.5,0,0
214,T6864,Pass,6864,67,12,24,30.51613409,19.5001582,1,0,0,19,35.5,40,34.5
215,T6860,Pass,6860,25,10,15,-4.402211402,1.176410465,1,1,1,39,71,0,0
216,T6916,Pass,6916,28,6,13,-9.821512853,19.0063763,1,1,1,23.5,41,0,0
217,T6980,Pass,6980,68,16,12,-44.00462126,14.62239498,1,0,0,10.5,20.5,41,36
218,T6857,Fail,6857,75,15,15,37.61839075,22.61227189,1,0,0,7,16.5,43,38
219,T6942,Pass,6942,47,10,17,-27.62255245,7.153797533,1,0,0,27.5,54.5,30,7.5
220,T6902,Pass,6902,25,18,24,30.21113724,11.22186484,1,0,0,15,29.5,45.5,40.5
221,T6980,Pass,6980,30,25,11,4.970455915,9.269785671,1,1,1,7.5,13.5,0,0
222,T6932,Pass,6932,42,6,21,9.580930951,6.447173884,1,1,1,23.5,48.5,0,0
223,T6887,Pass,6887,34,7,31,-15.80553516,19.70794275,1,0,0,29.5,72.5,7,0.5
224,T6916,Pass,6916,25,19,27,44.94282478,16.71688077,1,0,0,20.5,35.5,29.5,22
225,T6855,Pass,6855,96,4,23,18.1897698,12.30036659,1,0,1,35,62.5,13.5,0
226,T6901,Pass,6901,98,23,32,1.327186567,14.02855104,1,1,1,13.5,28,0,0
227,T6983,Pass,6983,94,2,19,-18.45450907,22.7460767,1,1,1,45,104,0,0
228,T6909,Pass,6909,87,11,12,49.86472961,9.369175409,1,0,0,15,31,42.5,37.5
229,T6878,Pass,6878,30,23,20,38.17090676,1.581318885,1,0,0,6.5,15.5,49,44.5
230,T6976,Pass,6976,54,5,22,0.142491772,6.781854663,1,1,1,19.5,38.5,0,0
231,T6976,Pass,6976,67,23,24,38.04397678,3.373794994,1,0,0,15,34.5,57,50.5
232,T6814,Pass,6814,69,11,16,-34.07478579,15.85035661,1,0,0,10.5,20,47.5,42.5
233,T6991,Pass,6991,40,16,12,-40.08533987,2.719578073,1,0,0,12,25,20,15
234,T6914,Pass,6914,75,7,24,-30.67648248,12.10839953,1,0,0,25,53.5,33,16
235,T6999,Fail,6999,92,17,27,44.80661815,12.08948018,1,0,0,15,29,12.5,6.5
236,T6978,Pass,6978,99,13,24,-30.82321265,14.52571017,1,0,1,20.5,45,14,0
237,T6993,Pass,6993,82,21,9,17.6822721,5.309855828,1,0,0,27,60,7.5,3.5
238,T6944,Pass,6944,64,6,20,-6.477929838,0.688319107,1,1,1,17.5,41.5,0,0
239,T6920,Pass,6920,75,4,9,-21.38552559,24.28386841,1,0,0,20,45,15.5,0.5
240,T6891,Pass,6891,36,6,26,-49.47707017,13.30084925,1,0,0,29,84,30,9.5
241,T6889,Pass,6889,91,24,27,15.02997857,14.41667345,1,1,1,14.5,27.5,0,0
242,T6878,Pass,6878,65,6,12,-12.95424988,17.9174755,1,1,1,22.5,43.5,0,0
243,T6853,Pass,6853,32,18,8,-46.24371878,12.87809374,1,0,0,6.5,13.5,32.5,30.5
244,T6851,Pass,6851,70,23,19,46.93434774,14.47627756,1,0,0,10,20,52,46.5
245,T6928,Pass,6928,73,17,32,-34.71002115,7.165445194,1,0,0,15,28.5,36,28
246,T6962,Pass,6962,80,16,10,-11.93190331,8.700307984,1,0,0,10.5,22,11.5,5.5
247,T6985,Pass,6985,63,19,28,49.92179601,17.13943014,1,0,0,21,54.5,56,41.5
248,T6943,Pass,6943,42,16,13,13.84582203,10.97642404,1,0,1,14,26,0.5,0
249,T6857,Pass,6857,65,8,16,26.35466754,18.69520226,1,0,0,39.5,59,14.5,11.5
250,T6929,Pass,6929,31,8,22,-42.07799619,14.02677558,1,0,0,15.5,45,49,43.5
251,T6911,Pass,6911,73,4,21,-41.46784288,11.92875061,1,1,1,27,69,0,0
252,T6948,Pass,6948,60,12,27,34.63971729,15.49004732,1,0,1,20,36,5,0
253,T6944,Pass,6944,94,9,13,-8.796369634,24.8497172,1,1,1,20,40.5,0,0
254,T6949,Pass,6949,49,19,25,0.250124233,4.839519731,1,1,1,15,31,0,0
255,T6928,Pass,6928,48,17,12,19.99230254,0.169260041,1,0,0,14,25,12.5,8
256,T6984,Pass,6984,51,4,14,4.394371109,6.429244321,1,1,1,32,95,0,0
257,T6885,Pass,6885,34,20,15,19.37029983,20.15783245,1,0,0,11.5,22.5,30.5,23.5
258,T6858,Pass,6858,50,15,22,-9.92204491,1.223072943,1,0,1,18.5,40,3,0
259,T6985,Fail,6985,32,11,23,-47.04720997,26.47798929,1,0,1,14.5,37.5,3,0
260,T6973,Pass,6973,60,15,9,-13.6690805,15.80086368,1,0,1,10.5,20,2.5,0
261,T6802,Pass,6802,59,7,28,45.30345178,3.219564457,1,0,0,34,66.5,48.5,40
262,T6861,Pass,6861,96,18,20,12.0341392,16.35921933,1,0,1,14,29,3.5,0
263,T6895,Pass,6895,79,20,27,-17.25790221,12.50008772,1,0,0,19.5,36.5,27,14.5
264,T6822,Pass,6822,62,7,18,17.80894315,15.3196538,1,1,1,29,62.5,0,0
265,T6889,Pass,6889,96,14,10,46.46318387,9.513853826,1,0,0,11,21.5,41,35.5
266,T6879,Pass,6879,27,23,19,-16.06274315,11.93209878,1,1,1,22.5,44,0,0
267,T6824,Pass,6824,32,6,10,-41.81313997,16.02873835,1,0,0,14.5,27,59.5,55
268,T6866,Pass,6866,84,23,22,26.42566536,5.181183009,1,0,0,14.5,33,38,22.5
269,T6909,Pass,6909,68,19,9,-11.36674418,17.46606316,1,1,1,15,25.5,0,0
270,T6847,Pass,6847,25,6,19,19.06449927,20.29163333,1,1,1,23.5,56,0,0
271,T6943,Pass,6943,48,13,11,10.8219356,1.119810847,1,0,1,13,23.5,2,0
272,T6847,Pass,6847,38,22,11,-9.462955478,0.931145619,1,0,1,15,47.5,38,0
273,T6982,Pass,6982,45,17,22,31.55210605,4.773557221,1,0,0,23.5,50.5,15.5,10
274,T6934,Pass,6934,100,21,10,-36.35887688,18.12450353,1,0,0,21.5,35,24.5,20
275,T6974,Pass,6974,25,25,27,24.67043749,25.78952701,1,0,0,13.5,32.5,14,8.5
276,T6964,Fail,6964,97,12,8,-17.230024,26.25415728,1,0,1,10.5,19.5,3.5,0
277,T6983,Pass,6983,93,7,19,35.20542865,9.487306383,1,0,0,26,53.5,16.5,5
278,T6913,Pass,6913,32,2,21,28.95412517,10.7194665,1,0,0,44.5,133,31.5,10
279,T6977,Pass,6977,37,7,21,31.07674324,24.65286828,1,0,1,26,98,7,0
280,T6996,Pass,6996,26,7,8,17.48661601,4.289877971,1,0,1,29,76,2,0
281,T6907,Pass,6907,36,16,8,1.836281526,15.36908453,1,1,1,18,34,0,0
282,T6924,Pass,6924,27,25,31,-5.935441493,14.50870542,1,0,1,15.5,36,2,0
283,T6846,Pass,6846,58,22,22,42.66938122,24.56372567,1,0,0,14.5,25.5,40,36
284,T6979,Pass,6979,67,21,12,-40.93842288,20.48389936,1,0,0,15.5,28.5,31,24
